Datetime,LagunaMaule,LagunaInvernada,EmbalseMelado,EmbalseColbun,EmbalseMachicura,residual,GarzasySuizasRiego,GarzasySuizasRemanente,TrasvaceMeladoAncoaRiego,TrasvaceMeladoAncoaRemanente,AsociacionCanalMauleRiego,AsociacionCanalMauleRemanente,CooperativaDeRiegoRiego,CooperativaDeRiegoRemanente,SORPAMRiego,SORPAMRemanente,ParticularesRiberaSurRiego,ParticularesRiberaSurRemanente,ParticularesRiberaNorteRiego,ParticularesRiberaNorteRemanente
2036-12-01T00:00:00,281499229.7431145,0.0,135000000.0,1544000000.0,42000000.0,0.0,48556.8,0.0,53946.432,0.0,3421676.207860455,1043118.0368194049,1655863.7783686083,1579165.5692518721,1076750.4345294698,843530.731772136,99337.30929114403,283611.11980238894,63608.86567073442,27794.4654598888
2037-01-01T00:00:00,202383102.15116435,0.0,102000000.0,1524925352.2737088,42000000.0,0.0,48556.8,0.0,34417.439999999995,0.0,3421676.207860455,1043118.0368194049,1655863.7783686083,1579165.5692518721,1076750.4345294698,843530.731772136,99337.30929114403,283611.11980238894,63608.86567073442,27794.4654598888
2037-02-01T00:00:00,174324483.2101424,0.0,102000000.0,1401026716.888266,42000000.0,0.0,43701.119999999995,0.0,29054.2464,0.0,3409435.478912996,716665.6410870035,1649940.0794404745,1253456.757238648,1072898.4598210345,651866.8708543668,98981.93929014588,245120.070807892,63381.3108595743,23554.36914042569
2037-03-01T00:00:00,170000000.0,0.0,102000000.0,1311267060.4989636,42000000.0,0.0,29134.08,0.0,29084.0544,0.0,2053005.724716273,625870.8220916439,993518.267021165,947499.3415511234,646050.2607176818,506118.4390632815,59602.385574686414,170166.67188143334,38165.31940244065,16676.67927593329
2037-04-01T00:00:00,187904541.25089264,0.0,102000000.0,610187916.7079585,42000000.0,22601015.774808772,19422.72,0.0,41276.649600000004,0.0,1414281.5182170318,419541.2017829681,684418.2196585134,605300.4203679535,445053.28581028973,326298.55546709924,41059.09269764652,112278.61407130098,26291.454143500407,11488.28714953777
2037-05-01T00:00:00,174083805.5488739,0.0,102000000.0,915715978.6137917,42000000.0,0.0,9711.36,0.0,90687.83781849219,162149.6661815078,684335.241572091,208623.60736388108,331172.75567372167,315833.1138503745,215350.08690589396,168706.14635442712,19867.461858228806,56722.22396047777,12721.773134146884,5558.893091977761
2037-06-01T00:00:00,170195211.27370667,0.0,102000000.0,1338406592.62399,42000000.0,0.0,9711.36,0.0,93710.01605814992,213796.22394185007,707140.7591085162,209770.60089148406,342209.1098292567,302650.21018397674,222526.64290514486,163149.27773354962,20529.54634882326,56139.30703565049,13145.727071750203,5744.143574768885
2037-07-01T00:00:00,170000000.0,0.0,122595789.80106509,1544000000.0,42000000.0,3564758.553695789,9711.36,0.0,90687.83781849219,101753.47418150779,684335.241572091,208623.60736388108,331172.75567372167,315833.1138503745,215350.08690589396,168706.14635442712,19867.461858228806,56722.22396047777,12721.773134146884,5558.893091977761
2037-08-01T00:00:00,170000000.0,0.0,135000000.0,1544000000.0,42000000.0,12002347.108476177,9711.36,0.0,90687.83781849219,121615.9701815078,684335.241572091,208623.60736388108,331172.75567372167,315833.1138503745,215350.08690589396,168706.14635442712,19867.461858228806,56722.22396047777,12721.773134146884,5558.893091977761
2037-09-01T00:00:00,170000000.0,0.0,135000000.0,1544000000.0,42000000.0,7420811.848816356,14567.04,0.0,140565.02408722488,10971.071912775136,1060711.1386627739,314655.90133722615,513313.66474388505,453975.3152759654,333789.96435771725,244723.9166003244,30794.31952323489,84208.96055347573,19718.590607625305,8616.215362153329
2037-10-01T00:00:00,170000000.0,0.0,135000000.0,1544000000.0,42000000.0,2532346.720007381,33989.759999999995,0.0,120068.352,0.0,2395173.345502318,730182.6257735845,1159104.6448580257,1105415.8984763108,753725.3041706288,590471.5122404948,69536.11650380082,198527.7838616722,44526.2059695141,19456.125821922156
2037-11-01T00:00:00,216506061.49456435,0.0,135000000.0,1544000000.0,42000000.0,507875.8337060294,43701.12,0.0,67783.3056,0.0,3182133.4159883214,943967.7040116787,1539940.9942316553,1361925.9458278958,1001369.8930731517,734171.7498009737,92382.95856970466,252626.8816604272,59155.771822875904,25848.646086459994
2037-12-01T00:00:00,228478016.5288397,0.0,135000000.0,1544000000.0,42000000.0,0.0,48556.8,0.0,50479.3728,0.0,3421676.207860455,1043118.0368194049,1655863.7783686083,1579165.5692518721,1076750.4345294698,843530.731772136,99337.30929114403,283611.11980238894,63608.86567073442,27794.4654598888
2038-01-01T00:00:00,192176963.58670753,0.0,135000000.0,1544000000.0,42000000.0,0.0,48556.8,0.0,33580.3104,0.0,3421676.207860455,1043118.0368194049,1655863.7783686083,1579165.5692518721,1076750.4345294698,843530.731772136,99337.30929114403,283611.11980238894,63608.86567073442,27794.4654598888
2038-02-01T00:00:00,170582125.50186482,0.0,102000000.0,1523941256.0534787,42000000.0,0.0,43701.119999999995,0.0,44790.710399999996,0.0,3409435.4789129966,716665.6410870033,1649940.0794404745,1253456.757238648,1072898.4598210345,651866.8708543668,98981.93929014588,245120.070807892,63381.3108595743,23554.36914042569
2038-03-01T00:00:00,170000000.0,0.0,102000000.0,1463193472.362069,42000000.0,0.0,29134.08,0.0,34595.1648,0.0,2053005.7247162731,625870.8220916436,993518.267021165,947499.3415511234,646050.2607176818,506118.4390632815,59602.385574686414,170166.67188143334,38165.31940244065,16676.67927593329
2038-04-01T00:00:00,170000000.0,0.0,102000000.0,1486866657.2141902,42000000.0,0.0,19422.72,0.0,67386.0384,0.0,1414281.518217032,419541.201782968,684418.2196585134,605300.4203679535,445053.28581028973,326298.55546709924,41059.09269764652,112278.61407130098,26291.454143500407,11488.28714953777
2038-05-01T00:00:00,210657277.12875754,0.0,122264040.89603806,1544000000.0,42000000.0,6334840.956827567,9711.36,0.0,90687.83781849219,103141.92218150779,684335.2415720911,208623.60736388108,331172.75567372167,315833.1138503745,215350.08690589396,168706.14635442712,19867.461858228806,56722.22396047777,12721.773134146884,5558.893091977761
2038-06-01T00:00:00,240316702.68932456,0.0,135000000.0,1544000000.0,42000000.0,9711466.50432897,9711.36,0.0,93710.01605814992,109818.14394185005,707140.7591085159,209770.60089148406,342209.1098292567,302650.21018397674,222526.64290514486,163149.27773354962,20529.54634882326,56139.30703565049,13145.727071750203,5744.143574768885
2038-07-01T00:00:00,301349508.87981457,0.0,135000000.0,1544000000.0,42000000.0,17172099.291471526,9711.36,0.0,90687.83781849219,257689.92218150775,684335.241572091,208623.60736388108,331172.75567372167,315833.1138503745,215350.08690589396,168706.14635442712,19867.461858228806,56722.22396047777,12721.773134146884,5558.893091977761
2038-08-01T00:00:00,297505421.38278157,0.0,135000000.0,1544000000.0,42000000.0,12439539.747624157,9711.36,0.0,90687.83781849219,122087.71418150778,684335.241572091,208623.60736388108,331172.75567372167,315833.1138503745,215350.08690589396,168706.14635442712,19867.461858228806,56722.22396047777,12721.773134146884,5558.893091977761
2038-09-01T00:00:00,282145445.4217731,0.0,135000000.0,1544000000.0,42000000.0,9935993.238525348,14567.04,0.0,140565.02408722488,34337.95191277511,1060711.1386627739,314655.90133722615,513313.66474388505,453975.3152759654,333789.96435771725,244723.9166003244,30794.31952323489,84208.96055347573,19718.590607625305,8616.215362153329
2038-10-01T00:00:00,285593319.7552171,0.0,135000000.0,1544000000.0,42000000.0,3831149.447414246,33989.759999999995,0.0,139771.872,0.0,2395173.345502318,730182.6257735845,1159104.6448580257,1105415.8984763108,753725.3041706288,590471.5122404948,69536.11650380082,198527.7838616722,44526.2059695141,19456.125821922156
2038-11-01T00:00:00,334172188.0017446,0.0,135000000.0,1544000000.0,42000000.0,1442996.7713060274,43701.12,0.0,83224.6272,0.0,3182133.4159883214,943967.7040116787,1539940.9942316553,1361925.9458278958,1001369.8930731517,734171.7498009737,92382.95856970466,252626.8816604272,59155.771822875904,25848.646086459994
2038-12-01T00:00:00,411165789.0715722,0.0,135000000.0,1544000000.0,42000000.0,3322575.226949171,48556.8,0.0,96951.168,0.0,3421676.207860455,1043118.0368194049,1655863.7783686083,1579165.5692518721,1076750.4345294698,843530.731772136,99337.30929114403,283611.11980238894,63608.86567073442,27794.4654598888
2039-01-01T00:00:00,390989852.7531093,0.0,135000000.0,1544000000.0,42000000.0,0.0,48556.8,0.0,44709.321599999996,0.0,3421676.207860455,1043118.0368194049,1655863.7783686083,1579165.5692518721,1076750.4345294698,843530.731772136,99337.30929114403,283611.11980238894,63608.86567073442,27794.4654598888
2039-02-01T00:00:00,308743638.64022535,0.0,135000000.0,1544000000.0,42000000.0,0.0,43701.119999999995,0.0,37296.8064,0.0,3409435.4789129966,716665.6410870035,1649940.0794404745,1253456.757238648,1072898.4598210345,651866.8708543668,98981.93929014588,245120.070807892,63381.3108595743,23554.36914042569
2039-03-01T00:00:00,240424919.87856102,0.0,135000000.0,1544000000.0,42000000.0,0.0,29134.08,0.0,26579.4912,0.0,2053005.724716273,625870.8220916439,993518.267021165,947499.3415511234,646050.2607176818,506118.4390632815,59602.385574686414,170166.67188143334,38165.31940244065,16676.67927593329
2039-04-01T00:00:00,199520280.40472567,0.0,135000000.0,1544000000.0,42000000.0,840709.4949059963,19422.72,0.0,29293.7472,0.0,1414281.518217032,419541.2017829681,684418.2196585134,605300.4203679535,445053.28581028973,326298.55546709924,41059.09269764652,112278.61407130098,26291.454143500407,11488.28714953777
2039-05-01T00:00:00,224391324.37626183,0.0,102000000.0,934301542.2096128,42000000.0,23399418.404415995,9711.36,0.0,75012.5664,0.0,684335.241572091,208623.60736388108,331172.75567372167,315833.1138503745,215350.08690589396,168706.14635442712,19867.461858228806,56722.22396047777,12721.773134146884,5558.893091977761
2039-06-01T00:00:00,188728097.3588938,0.0,102000000.0,1204912100.6582704,42000000.0,0.0,9711.36,0.0,93710.01605814992,109024.12794185008,707140.759108516,209770.600891484,342209.1098292567,302650.21018397674,222526.64290514486,163149.27773354962,20529.54634882326,56139.30703565049,13145.727071750203,5744.143574768885
2039-07-01T00:00:00,175304623.93038505,0.0,102000000.0,1376388433.702218,42000000.0,0.0,9711.36,0.0,90687.83781849219,36686.498181507806,684335.241572091,208623.60736388108,331172.75567372167,315833.1138503745,215350.08690589396,168706.14635442712,19867.461858228806,56722.22396047777,12721.773134146884,5558.893091977761
2039-08-01T00:00:00,170000000.0,0.0,127014384.90217713,1544000000.0,42000000.0,4992421.448706472,9711.36,0.0,90687.83781849219,142745.0901815078,684335.241572091,208623.60736388108,331172.75567372167,315833.1138503745,215350.08690589396,168706.14635442712,19867.461858228806,56722.22396047777,12721.773134146884,5558.893091977761
2039-09-01T00:00:00,170000000.0,0.0,135000000.0,1544000000.0,42000000.0,6649649.885841097,14567.04,0.0,140565.02408722488,32556.383912775113,1060711.1386627739,314655.90133722615,513313.66474388505,453975.3152759654,333789.96435771725,244723.9166003244,30794.31952323489,84208.96055347573,19718.590607625305,8616.215362153329
2039-10-01T00:00:00,170000000.0,0.0,135000000.0,1544000000.0,42000000.0,442278.01600738126,33989.759999999995,0.0,105826.17599999999,0.0,2395173.345502318,730182.6257735845,1159104.6448580257,1105415.8984763108,753725.3041706288,590471.5122404948,69536.11650380082,198527.7838616722,44526.2059695141,19456.125821922156
2039-11-01T00:00:00,193057262.6817452,0.0,135000000.0,1544000000.0,42000000.0,0.0,43701.12,0.0,74779.3728,0.0,3182133.4159883214,943967.7040116787,1539940.9942316553,1361925.9458278958,1001369.8930731517,734171.7498009737,92382.95856970466,252626.8816604272,59155.771822875904,25848.646086459994
2039-12-01T00:00:00,210638871.48463717,0.0,135000000.0,1544000000.0,42000000.0,0.0,48556.8,0.0,55224.5472,0.0,3421676.207860455,1043118.0368194049,1655863.7783686083,1579165.5692518721,1076750.4345294698,843530.731772136,99337.30929114403,283611.11980238894,63608.86567073442,27794.4654598888
2040-01-01T00:00:00,176407963.6151537,0.0,102000000.0,1502799660.079658,42000000.0,0.0,48556.8,0.0,34291.9008,0.0,3421676.207860455,1043118.0368194049,1655863.7783686083,1579165.5692518721,1076750.4345294698,843530.731772136,99337.30929114403,283611.11980238894,63608.86567073442,27794.4654598888
2040-02-01T00:00:00,170000000.0,0.0,102000000.0,1360404662.0254533,42000000.0,0.0,43701.119999999995,0.0,29253.9168,0.0,3409435.4789129966,716665.6410870033,1649940.0794404745,1253456.757238648,1072898.4598210345,651866.8708543668,98981.93929014588,245120.070807892,63381.3108595743,23554.36914042569
2040-03-01T00:00:00,170000000.0,0.0,102000000.0,1261602624.7558498,42000000.0,0.0,29134.08,0.0,22840.358399999997,0.0,2053005.724716273,625870.8220916437,993518.267021165,947499.3415511234,646050.2607176818,506118.4390632815,59602.385574686414,170166.67188143334,38165.31940244065,16676.67927593329
2040-04-01T00:00:00,183345161.41089264,0.0,102000000.0,534925474.0176197,42000000.0,22601015.774808772,19422.72,0.0,25447.6512,0.0,1414281.518217032,419541.201782968,684418.2196585134,605300.4203679535,445053.28581028973,326298.55546709924,41059.09269764652,112278.61407130098,26291.454143500407,11488.28714953777
2040-05-01T00:00:00,172406068.79697022,0.0,102000000.0,640678313.6603882,42000000.0,0.0,9711.36,0.0,62382.8736,0.0,684335.241572091,208623.60736388108,331172.75567372167,315833.1138503745,215350.08690589396,168706.14635442712,19867.461858228806,56722.22396047777,12721.773134146884,5558.893091977761
2040-06-01T00:00:00,170000000.0,0.0,102000000.0,428000000.0,42000000.0,12147524.49231138,9711.36,0.0,93710.01605814992,31578.623941850077,707140.759108516,209770.60089148406,342209.1098292567,302650.21018397674,222526.64290514486,163149.27773354962,20529.54634882326,56139.30703565049,13145.727071750203,5744.143574768885
2040-07-01T00:00:00,170000000.0,0.0,102000000.0,555253594.9266217,42000000.0,0.0,9711.36,0.0,90687.83781849219,15950.498181507806,684335.241572091,208623.60736388108,331172.75567372167,315833.1138503745,215350.08690589396,168706.14635442712,19867.461858228806,56722.22396047777,12721.773134146884,5558.893091977761
