;año,mes,73001,73031,73061,73081,73082,73083,73084,73141,73171,73172,73173,73174,73201,73211,73212,73214,73215,73221,73222,73301,73311,73321,73351,73352,73353,73361,73391,73411,73431,73432,73501,73502,73511,73541,73542,73551,73552,73554,73555,73561,73581,73584,73591,73592,73721,73741,73742,73743,73781,73782,73783,73784,73791,73811,73831,DUMMY
2003,10,,66.26000214,0.105999999,109.5,3.683000088,1.152999997,0.757000029,,,13.39000034,0.598999977,88.61000061,22.56999969,,17.88999939,193.3999939,,,,30.55999947,,25.40999985,,3.118000031,,2.299000025,3.382999897,0.893999994,,1.037999988,,30.05999947,86.62000275,,42.00999832,29.04999924,,,1.967000008,,,,,,14.27999973,15.09000015,13.64999962,13.31000042,16.18000031,,,,63.68000031,4.010000229,316.7000122,-9999
2003,11,,65.26000214,0.116999999,114.3000031,2.411000013,1.146000028,0.875,,,17.37000084,0.400999993,103.4000015,23.19000053,,19.54999924,211.8999939,,,,20.52000046,,6.290999889,,3.483999968,,1.873999953,3.671000004,,,1.129999995,,23.26000023,59.09999847,,37.79000092,31.77000046,,,2.184999943,,,,,,11.84000015,14.28999996,22.61000061,19.79000092,26.48999977,,,,76.66999817,5.458000183,304.8999939,-9999
2003,12,,44.24000168,0.100000001,105.3000031,1.180999994,1.498999953,1.004999995,,,18.94000053,0.263000011,49.88000107,17.59000015,,20.87000084,154.1999969,,,,8.588999748,,0.578999996,,1.077999949,,0.737999976,1.784999967,0.344000012,,0.177000001,,12.02999973,24.48999977,,18.30999947,24.88999939,,,2.063999891,,,,,,4.818999767,9.607000351,24.77000046,22.77000046,29.70999908,,,,45.00999832,3.891000032,209.1999969,-9999
2004,1,,79.97000122,0.100000001,125.3000031,0.978999972,4.93900013,1.396000028,,,18.98999977,0.266000003,18.47999954,15.01000023,,22.23999977,149.1999969,,,,3.532999992,,,,0.82099998,,0.374000013,0.861000001,0.184,,0.088,,7.623000145,11.18000031,,10.48999977,21.29999924,,,2.255000114,,,,,,3.505000114,8.550999641,24.46999931,23.09000015,29.64999962,,,,32.59000015,3.937000036,159.8999939,-9999
2004,2,42.36000061,57.38000107,0.100000001,105,0.430000007,14.53999996,1.011000037,,,18.95999908,0.266000003,8.284000397,13.10000038,,17.15999985,110.1999969,,,,2.084000111,,,,1.062000036,,0.175999999,0.524999976,0.090000004,,0.041000001,,5.234000206,10.18999958,,7.175000191,20.39999962,,,2.375,,,,,,2.566999912,4.874000072,19.54999924,19.19000053,23.20999908,,,,29.19000053,4.100999832,136.8999939,-9999
2004,3,33.93000031,44.13000107,0.101000004,89.30000305,0.757000029,5.232999802,0.654999971,,,17.64999962,0.244000003,6.758999825,12.25,,13.56999969,98.87999725,,,,2.023000002,,,,1.014999986,,0.284999996,0.640999973,0.104999997,,0.059999999,,4.414000034,23.75,,6.768000126,19.29999924,,,1.985000014,,,,,,2.845000029,3.140000105,13.15999985,14.64000034,16.31999969,,,,39.25,5.500999928,164.8999939,-9999
2004,4,30.12999916,71.27999878,0.166999996,90.76999664,4.28399992,22,0.337000012,,,4.751999855,27.87000084,84.86000061,18.5,,8.041999817,161,,,,35.13000107,,38.99000168,,1.697000027,,0.856999993,1.027999997,0.331999987,,0.200000003,,47.77000046,116.6999969,,61.74000168,30.12999916,,,0.545000017,,,,,,22.23999977,17.44000053,7.572000027,5.639999866,8.895000458,,,,91.5,4.918000221,550.4000244,-9999
2004,5,,43.45000076,0.101000004,81.83999634,1.697999954,1.968000054,0.177000001,,,0,0.187000006,29.68000031,11.63000011,,11.64999962,112,,,,9.255000114,,8.880000114,,1.717000008,,0.779999971,0.927999973,0.402999997,,0.167999998,,9.057999611,50.45999908,,15.51000023,4.769000053,,,0.028000001,,,,,,5.368999958,4.052000046,2.236999989,3.203999996,3.355000019,,,,33.79999924,3.704999924,395.1000061,-9999
2004,6,33.84999847,49.15999985,0.126000002,78.48000336,2.818000078,3.588000059,0.115000002,,,0.726000011,0.917999983,65.73000336,17.11000061,,5.380000114,153.5,,,,50.63999939,,64.12999725,,3.802000046,,8.251999855,7.421000004,1.332999945,,0.978999972,,,151,,51.54000092,24.42000008,,,0.022,,,,,,16.95999908,15.96000004,1.85800004,1.876999974,3.118999958,,,,80.33999634,1.378999949,540.2000122,-9999
2004,7,33.31000137,48.84000015,0.133000001,84.20999908,4.78000021,2.204999924,0.128000006,,,0,1.355000019,78.41999817,19.64999962,,1.667999983,169.3000031,,,,66.19999695,,94.18000031,,11.52999973,,37.54999924,49.65999985,9.744000435,,13.22999954,,,363.7000122,,57.77999878,26.39999962,,,0.011,,,,,,21.63999939,20.23999977,0.782000005,0.614000022,,,,,120.3000031,7.456999779,834,-9999
