#,,Q afluente invernada,Pp 2850,Pp 2550,Pp 2250,Pp 1950,Pp 1548,T 2850,T 2550,T 2250,T 1950,T 1548
1978,3,37.7,0.00,0.00,0.00,0.00,0.00,9.85,10.48,11.12,11.75,12.61
1978,4,29.8,2.90,2.90,2.90,2.90,2.90,6.66,7.47,8.27,9.08,10.16
1978,5,29.3,219.30,220.20,221.00,221.90,223.00,1.88,3.01,4.13,5.25,6.75
1978,6,27.3,442.10,443.80,445.50,447.30,449.60,-1.64,-0.46,0.72,1.90,3.48
1978,7,35.9,1327.80,1333.10,1338.30,1343.50,1350.50,-3.67,-2.25,-0.82,0.60,2.52
1978,8,28.5,103.60,104.00,104.40,104.80,105.40,-1.53,-0.56,0.42,1.39,2.70
1978,9,28.3,313.20,314.40,315.70,316.90,318.50,-0.18,1.11,2.41,3.70,5.43
1978,10,45.5,245.30,246.30,247.30,248.20,249.50,3.21,4.35,5.49,6.63,8.17
1978,11,68.1,317.60,318.90,320.10,321.40,323.00,5.57,6.97,8.37,9.76,11.64
1978,12,119,17.80,17.90,18.00,18.00,18.10,10.41,11.56,12.71,13.86,15.40
1979,1,96.4,9.60,9.70,9.70,9.80,9.80,12.11,13.09,14.07,15.05,16.37
1979,2,55,0.40,0.40,0.40,0.40,0.40,13.12,13.82,14.53,15.24,16.19
1979,3,43.1,0.00,0.00,0.00,0.00,0.00,10.88,11.58,12.28,12.99,13.93
1979,4,31.6,62.00,62.30,62.50,62.80,63.10,6.80,7.62,8.44,9.26,10.36
1979,5,32.7,294.10,295.40,296.60,297.90,299.60,1.87,2.99,4.11,5.22,6.72
1979,6,25.8,54.80,55.00,55.30,55.50,55.80,-1.24,-0.35,0.55,1.44,2.64
1979,7,31.3,1005.40,1009.70,1014.00,1018.30,1024.00,-3.32,-2.03,-0.74,0.55,2.28
1979,8,38,671.20,674.10,676.90,679.80,683.60,-2.02,-0.74,0.55,1.84,3.56
1979,9,34.4,187.40,188.20,189.00,189.80,190.90,-0.16,1.03,2.22,3.41,5.01
1979,10,40,5.80,5.80,5.80,5.80,5.90,3.30,4.47,5.65,6.83,8.41
1979,11,60.7,181.70,182.40,183.20,184.00,185.00,5.13,6.41,7.70,8.99,10.72
1979,12,87.3,167.70,168.40,169.20,169.90,170.80,9.29,10.32,11.34,12.37,13.74
1980,1,82.9,0.00,0.00,0.00,0.00,0.00,12.33,13.34,14.34,15.34,16.68
1980,2,52.6,84.10,84.50,84.80,85.20,85.70,12.61,13.29,13.97,14.65,15.56
1980,3,41.3,67.30,67.60,67.90,68.10,68.50,9.06,9.64,10.23,10.81,11.59
1980,4,45.2,830.70,833.80,836.80,839.90,844.00,4.99,5.59,6.20,6.80,7.61
1980,5,54.9,672.70,675.20,677.70,680.10,683.50,1.61,2.57,3.53,4.49,5.77
1980,6,48.9,662.60,665.00,667.50,669.90,673.10,-1.62,-0.45,0.72,1.89,3.46
1980,7,45.5,514.80,516.70,518.60,520.50,523.00,-3.19,-1.95,-0.71,0.52,2.19
1980,8,34.6,167.50,168.10,168.70,169.30,170.10,-1.93,-0.70,0.53,1.75,3.40
1980,9,32.4,173.30,173.90,174.50,175.20,176.00,-0.19,1.19,2.56,3.93,5.77
1980,10,39.6,0.00,0.00,0.00,0.00,0.00,3.39,4.59,5.80,7.01,8.63
1980,11,59.2,74.40,74.70,75.00,75.20,75.60,5.47,6.85,8.22,9.59,11.44
1980,12,81.9,94.70,95.00,95.40,95.70,96.20,10.13,11.24,12.36,13.47,14.97
1981,1,58.8,11.10,11.20,11.20,11.20,11.30,12.05,13.02,14.00,14.98,16.29
1981,2,41.7,3.90,3.90,3.90,3.90,3.90,13.43,14.16,14.88,15.61,16.58
1981,3,34.1,11.60,11.60,11.70,11.70,11.80,11.67,12.42,13.17,13.93,14.94
1981,4,30.3,169.50,170.40,171.20,172.10,173.20,7.56,8.48,9.39,10.31,11.53
1981,5,44.2,1093.50,1099.00,1104.50,1110.00,1117.30,2.19,3.50,4.81,6.11,7.86
1981,6,38.2,119.00,119.60,120.20,120.80,121.60,-1.74,-0.49,0.77,2.02,3.70
1981,7,32,273.10,274.50,275.90,277.30,279.10,-3.66,-2.24,-0.82,0.60,2.51
1981,8,29.4,384.40,386.40,388.30,390.20,392.80,-1.93,-0.70,0.52,1.75,3.39
1981,9,28.1,179.90,180.80,181.70,182.60,183.80,-0.15,0.97,2.10,3.23,4.74
1981,10,37.8,55.80,56.10,56.40,56.70,57.10,3.02,4.09,5.17,6.25,7.69
1981,11,63.2,7.60,7.70,7.70,7.80,7.80,4.40,5.50,6.60,7.71,9.19
1981,12,55.4,0.00,0.00,0.00,0.00,0.00,8.54,9.48,10.42,11.36,12.62
