," ""CCCMA """"CGCM3"""" a"""," ""CCCMA """"CGCM3"""" b"""," ""GFDL """"CM2"""" a"""," ""GFDL """"CM2"""" b"""," ""GISS """"AOM"""" a"""," ""GISS """"AOM"""" b"""," ""historico mas futuro"""," ""MPI """"ECHAM5"""" a"""," ""MPI """"ECHAM5"""" b"""," ""MRI """"CGCM2.3.2."""" a"""," ""MRI """"CGCM2.3.2."""" b"""," ""NIES """"MIRO3.2."""" a"""," ""NIES """"MIRO3.2."""" b"""," ""UKMO """"HADCM3"""" a"""," ""UKMO """"HADCM3"""" b"""
Oct-22,2.27321,2.27978,2.88039,1.67308,2.62666,2.28432,2.03184,2.07196,2.64916,1.94897,1.87174,1.65977,3.25878,2.48424,2.60374
Nov-22,4.08228,3.30282,3.62689,2.70214,3.88872,4.551,2.85697,2.76855,3.88826,2.96854,2.8919,2.75683,4.80952,4.96139,4.40007
Dec-22,3.04913,2.60888,3.03758,2.27254,2.95652,2.99333,2.43711,2.14866,4.03746,2.63953,2.17771,2.33621,3.10766,5.25826,3.21802
Jan-23,2.15883,1.92995,2.14297,1.42154,2.37341,1.98911,1.92041,1.61807,3.03094,2.26654,1.54475,1.86791,2.16216,3.39326,2.21059
Feb-23,1.60523,1.473,1.52462,1.10527,1.7434,1.4989,1.44866,1.197,1.91917,1.56191,1.19655,1.3253,1.62319,2.22491,1.62137
Mar-23,1.11729,0.969506,1.09276,0.754689,1.16226,0.999044,1.01726,0.806403,1.432,1.04311,0.875461,0.906081,1.06585,1.4113,1.14243
Apr-23,1.22151,0.845591,0.941238,0.616428,1.0003,0.941846,0.855664,0.872522,1.451,1.28825,0.896409,0.815622,0.953139,1.46008,1.10534
May-23,1.40477,0.816936,1.00767,0.75868,1.68782,1.22807,0.782703,1.0427,1.47248,1.97079,1.47661,0.923881,1.06556,1.7427,1.69246
Jun-23,2.45654,0.67765,1.35852,0.747062,1.87751,1.22348,0.812566,1.1248,1.3459,1.65416,2.10722,1.17039,1.78773,1.83707,1.6572
Jul-23,2.61661,0.966223,1.16672,0.669547,2.68272,1.37409,1.00893,1.69512,1.29898,2.07307,2.06043,1.89027,1.98374,2.1235,2.51345
Aug-23,2.24328,1.30672,1.13866,1.22231,2.25841,1.33659,1.19102,1.78716,1.40588,2.14601,1.5898,1.65289,2.1734,1.96071,2.8355
Sep-23,2.04548,1.90322,1.45964,1.29282,2.07068,1.1748,1.29383,2.52763,1.59556,2.32317,2.03536,2.05217,2.3401,2.13045,2.21406
Oct-23,2.22495,2.35185,1.71721,1.66988,3.23611,2.08813,1.64624,3.35431,2.07379,3.2226,2.98546,2.67168,2.59055,2.15057,2.1419
Nov-23,3.18011,3.69301,2.20529,4.68785,5.47878,3.65245,3.3449,5.28201,4.76757,5.7782,4.97875,5.09205,4.35735,3.1466,3.62499
Dec-23,2.74143,3.18465,1.61194,5.69142,4.13432,3.02598,3.15212,4.59802,5.40362,3.98437,4.02536,4.07609,3.09106,2.52318,3.10485
Jan-24,1.95322,2.2222,1.47137,3.83251,2.53878,2.23566,2.4127,2.99921,4.23963,2.91929,2.65442,2.48478,2.07152,1.78342,2.37498
Feb-24,1.47296,1.60999,1.10142,2.35631,1.81204,1.6507,1.72267,2.06859,2.68347,2.01102,1.85305,1.76978,1.57309,1.3295,1.68594
Mar-24,0.994878,1.39547,0.767309,1.53629,1.15574,1.10401,1.10834,1.36689,1.66544,1.33454,1.17852,1.1804,1.02535,0.891069,1.11517
Apr-24,1.19104,1.03533,0.988603,1.52007,1.14831,1.16852,1.43415,1.22639,1.28149,1.04401,0.90494,1.25228,0.836326,0.894524,0.864642
May-24,3.09141,1.11419,1.20329,1.27455,2.14047,1.35046,1.54194,1.27798,1.14481,1.41843,1.02958,2.32277,0.844062,0.850397,1.08521
Jun-24,2.50014,1.35094,2.02127,1.68134,1.78502,1.17185,1.2142,1.78994,1.42061,1.1814,1.30028,1.73496,1.40887,1.08652,2.12365
Jul-24,1.79517,2.43811,1.8699,2.33334,1.80822,2.37143,1.23675,1.78001,1.63837,1.08242,2.61843,1.85041,1.3392,1.16427,2.13979
Aug-24,1.68923,2.17892,1.69544,1.97825,1.75641,1.88338,1.12957,2.19348,1.75288,0.966156,2.03495,1.63239,1.5017,1.22151,1.99259
Sep-24,1.67789,1.93835,2.01762,1.89154,1.90625,2.13875,1.12745,2.18439,1.63322,0.957407,2.18405,1.4788,1.60745,1.61065,2.12126
Oct-24,1.89905,2.58865,2.3263,2.49246,1.9714,2.77033,1.27511,3.23747,2.70146,1.28495,2.62213,1.69114,2.36024,1.85645,2.77691
Nov-24,3.04733,3.56012,2.9305,3.39139,4.53496,3.99305,1.8963,5.07005,3.94937,2.28232,3.77818,2.39962,5.17837,3.64979,3.62702
Dec-24,2.36511,3.61978,2.89764,2.72088,3.2983,2.97869,1.4938,5.21483,2.74195,1.59157,3.32937,1.95668,4.92482,2.51381,3.21036
Jan-25,1.62308,2.3989,1.89845,1.99252,2.62717,1.85888,1.22442,3.51136,1.96659,1.15486,2.40196,1.38918,2.79622,1.61738,2.54662
Feb-25,1.25765,1.70902,1.38609,1.48092,1.88344,1.40875,1.00428,2.30665,1.4387,0.949448,1.71976,1.07222,1.97298,1.30948,1.78326
Mar-25,0.989721,1.10751,0.91167,1.09935,1.25311,0.922763,0.715375,1.70527,0.949676,0.6818,1.14938,0.736568,1.25016,0.91602,1.22682
Apr-25,0.8071,0.869713,0.731083,0.930451,1.1313,0.774178,0.71739,1.2744,1.14206,0.600495,0.896458,1.19858,1.23734,0.761282,1.08863
May-25,2.24665,0.887617,0.732578,1.61621,2.23326,1.48053,0.768485,1.23292,1.16488,0.745085,0.925069,1.74689,1.37376,1.1123,1.51584
Jun-25,1.81493,1.64795,0.661489,1.58504,3.17055,1.37695,1.00218,1.05511,1.0361,1.12421,1.06934,1.88122,1.55403,1.12891,2.73432
Jul-25,1.74385,1.56914,0.695952,2.67879,3.32062,1.31276,1.07985,1.0619,0.918054,1.0904,1.79417,2.23422,2.15392,1.99563,1.97988
Aug-25,1.65036,1.53065,0.596612,1.73653,3.22484,1.18334,0.921913,1.32302,0.950695,1.23211,2.04948,1.7249,1.65118,1.44334,1.60044
Sep-25,1.52059,1.48325,0.795174,1.90038,2.45711,1.26355,0.999787,1.3983,0.952547,1.60601,1.84202,1.99406,1.62236,2.12791,1.47265
Oct-25,1.91297,1.849,1.05353,2.28216,3.05458,1.85529,1.21369,1.8195,1.50555,2.04249,3.25137,2.73805,2.10166,3.24044,2.18312
Nov-25,3.12218,2.8138,2.08441,4.27924,3.82875,3.35616,2.4836,2.82334,2.37245,3.67806,4.86533,4.46222,2.72199,4.92955,4.94519
Dec-25,3.16014,2.71901,1.64651,3.25752,3.36541,2.76795,2.22564,2.11465,2.69784,3.16256,4.0656,3.54899,1.99781,4.31655,3.2034
Jan-26,2.37498,1.95616,1.33054,2.48199,2.72128,2.31355,1.68579,1.50043,1.74176,2.39526,3.19002,2.28755,1.4966,3.11934,2.34499
Feb-26,1.65979,1.6249,1.02026,1.72897,1.86787,1.59654,1.33147,1.15518,1.3309,1.69279,2.20726,1.63767,1.1471,2.0823,1.64458
Mar-26,1.0816,1.13707,0.728334,1.13095,1.41525,1.10783,1.06939,0.805579,0.898057,1.17586,1.49318,1.19005,0.780071,1.29893,1.20159
Apr-26,0.906431,0.907739,0.621418,0.94607,1.20283,1.11453,0.987281,0.663115,0.779044,1.32983,1.20711,1.08969,0.84713,1.16218,1.23026
May-26,0.922575,2.46592,1.66707,2.00164,2.48989,1.18615,1.0748,0.686069,1.31427,1.37158,1.19631,1.42271,1.53371,2.17642,1.24992
Jun-26,0.780196,2.08677,1.31199,1.31545,2.21906,1.52512,0.969856,1.09666,1.24554,1.27068,1.40396,1.43997,1.38524,2.03939,1.99635
Jul-26,1.29142,4.03555,2.26515,1.57724,2.52051,1.61035,1.00065,1.68592,1.36521,1.63468,1.65535,1.52436,2.00698,2.60155,3.81852
Aug-26,0.916206,3.02801,1.91543,1.60379,2.02247,2.19823,0.903048,1.66403,1.31113,1.89818,1.61587,1.6446,1.83984,2.10978,2.60136
Sep-26,1.49774,2.45718,1.883,1.95245,2.35426,2.37683,1.01212,1.91402,1.33408,1.92307,2.32566,1.59095,1.6364,1.93484,2.91467
Oct-26,2.1628,2.48998,2.59542,1.91253,2.6479,3.02577,1.34796,2.59565,2.12118,1.98047,2.54435,2.15434,2.26817,2.66082,4.17969
Nov-26,3.2039,3.19817,5.03478,4.82082,3.69126,5.08498,2.40703,4.17291,3.67651,2.96167,4.22899,3.90615,3.12948,5.15178,6.48368
Dec-26,2.43555,2.79733,3.23951,3.36538,2.65144,4.9107,2.03544,2.59851,2.47707,2.35171,3.56607,2.68599,2.33606,4.06308,4.82505
Jan-27,1.62237,1.86569,2.17152,2.48593,1.80383,3.20852,1.48412,1.79968,1.67172,1.60614,2.74789,1.71988,1.63942,2.32365,3.48797
Feb-27,1.24656,1.38124,1.64606,1.98451,1.33933,2.1864,1.3373,1.35934,1.36154,1.25423,2.04687,1.60126,1.2494,1.73322,2.33127
Mar-27,0.830043,0.946397,1.29401,1.4027,0.890955,1.35421,1.0365,0.935797,0.960186,0.854899,1.36435,0.996875,0.893562,1.13641,1.51463
Apr-27,0.827858,0.856292,1.27841,1.17128,0.805144,1.09982,1.49516,0.897299,0.841099,0.706977,1.09322,1.07925,0.702047,1.33674,1.17247
May-27,0.796573,0.822894,1.52402,1.70146,2.59102,1.7254,1.43617,1.6685,1.28662,0.789907,2.2042,1.05116,1.49011,1.67248,1.06324
Jun-27,0.930682,0.835017,1.61045,1.68066,2.38548,2.14358,2.13853,2.43899,2.71109,1.0066,1.78097,0.908015,1.478,1.95503,1.52392
Jul-27,2.60734,1.26592,1.67315,1.72961,2.46959,2.52342,2.27011,3.01904,3.01249,1.13113,1.59665,1.31613,1.64819,2.43138,1.68034
Aug-27,2.08006,1.44737,1.62067,1.3546,1.99254,2.47657,2.22654,2.62646,2.4762,1.37988,1.48698,1.32711,1.46349,2.02613,1.81099
Sep-27,1.79864,1.17191,1.82509,1.34045,2.02247,2.29878,1.61121,2.13317,2.61752,1.42689,1.69403,1.1584,1.45109,1.7095,1.6281
Oct-27,2.12262,2.2469,2.27359,1.76656,2.16801,2.48926,1.26033,3.45981,3.09036,2.01182,2.0971,1.73013,1.67296,2.18267,2.42156
