Date,CCCMA1,CCCMA2,GFDL1,GFDL2,GISS1,GISS2,HIST,MPI1,MPI2,MRI1,MRI2,NIES1,NIES2,UKMO1,UKMO2
2025-12-01,488.55,426.37,367.947,646.71,529.032,494.062,443.489,382.811,382.019,517.06,668.09,604.314,357.503,649.048,719.404
2026-01-01,432.589,427.947,214.638,430.833,492.954,372.146,323.268,259.219,387.987,442.312,613,513.915,245.466,583.379,409.51
2026-02-01,326.791,263.134,157.644,359.356,448.567,313.968,227.601,183.539,220.199,323.155,485.749,317.363,184.36,441.292,319.75
2026-03-01,186.458,193.859,240.756,192.964,238.36,174.581,138.452,203.933,146.747,183.012,255.522,175.098,207.662,225.512,181.218
2026-04-01,273.137,264.408,76.753,280.215,229.455,258.947,201.956,167.586,206.92,255.163,224.466,279.895,163.604,176.863,281.582
2026-05-01,136.607,114.165,247.457,131.986,221.786,177.637,107.264,131.846,107.508,207.655,206.871,152.157,186.706,302.511,209.672
2026-06-01,223.524,703.756,460.795,584.913,584.983,309.648,225.21,151.915,345.444,248.449,260.929,360.663,388.178,534.092,281.477
2026-07-01,137.627,416.175,255.371,234.209,502.403,345.038,169.407,345.626,251.016,246.075,342.28,296.783,270.955,437.663,498.392
2026-08-01,383.88,844.227,535.98,401.612,574.963,398.708,262.77,460.504,298.273,390.435,423.636,364.435,433.534,552.855,933.736
2026-09-01,195.707,507.611,421.067,387.108,440.582,515.336,191.596,403.504,301.887,431.314,413.5,389.499,341.486,492.713,605.194
2026-10-01,415.282,396.747,376,405.489,442.385,531.995,293.515,399.948,295.322,346.526,443.927,318.575,334.005,410.033,614.203
2026-11-01,343.6,343.847,410.27,342.666,395.306,493.85,252.594,406.741,331.095,282.164,438.187,334.722,354.887,437.864,657.711
2026-12-01,536.114,415.376,632.085,668.076,500.838,709.748,392.091,596.992,486.357,397.691,613.064,545.363,432.388,681.14,898.111
2027-01-01,343.344,382.129,436.111,432.596,367.518,654.872,275.856,347.809,295.707,305.393,495.742,348.739,302.254,626.613,671.832
2027-02-01,206.253,257.436,290.601,339.405,259.858,472.325,163.785,248.727,189.729,201.175,397.005,210.494,203.915,303.082,550.254
2027-03-01,139.556,169.024,181.229,222.498,182.299,251.304,246.685,159.475,226.766,135.825,235.929,188.023,138.906,195.063,295.25
2027-04-01,201.469,261.017,277.284,197.897,244.537,193.68,124.571,238.945,122.336,206.41,206.935,235.506,214.288,271.639,244.247
2027-05-01,138.183,168.757,185.844,286.572,185.283,282.291,301.364,133.614,155.003,85.6236,190.341,169.857,107.275,250.323,210.812
2027-06-01,202.944,217.02,357.341,357.593,762.087,386.564,222.274,449.535,265.612,185.056,630.022,243.939,404.101,385.637,230.138
2027-07-01,208.365,181.545,292.02,351.4,489.664,508.227,424.097,554.627,555.828,259.529,350.144,144.369,294.828,413.407,428.837
2027-08-01,714.602,380.476,397.692,384.753,464.474,537.514,422.017,661.338,632.606,288.827,325.47,358.602,337.475,515.68,439.091
2027-09-01,487.78,368.917,428.438,297.456,369.502,525.175,466.567,494.137,469.454,382.426,365.469,287.516,311.073,387.946,459.06
2027-10-01,366.868,258.013,404.664,278.672,344.305,406.628,270.48,443.127,521.159,383.426,357.098,252.32,313.549,323.13,354.918
2027-11-01,388.947,369.999,339.282,282.009,303.111,381.276,177.431,589.783,525.291,391.2,359.918,291.998,342.753,351.462,392.864
2027-12-01,555.331,489.836,432.594,452.502,345.141,503.231,328.147,646.502,680.667,673.534,370.503,532.474,614.625,522.084,581.432
2028-01-01,639.485,339.811,443.564,303.65,266.452,383.791,154.761,766.691,609.927,583.524,424.141,432.997,395.374,440.405,379.878
2028-02-01,377.986,215.017,434.448,189.525,195.262,278.645,437.926,544.051,417.25,359.819,258.91,296.497,299.882,296.361,310.426
2028-03-01,219.379,160.285,218.759,229.206,242.004,174.798,195.728,278.531,219.599,189.247,177.636,164.849,175.665,183.497,188.432
2028-04-01,213.38,233.685,161.826,158.842,196.769,306.54,211.119,233.152,185.751,259.489,270.241,249.102,252.087,265.813,268.356
2028-05-01,175.866,109.065,249.408,226.239,211.997,177.463,97.5671,250.706,251.832,290.922,133.98,282.525,106.321,216.072,183.696
2028-06-01,468.453,249.212,134.755,164.186,183.314,496.031,298.469,320.079,175.703,737.939,195.637,394.67,239.841,378.803,460.151
2028-07-01,385.601,557.871,257.541,407.63,259.319,305.759,296.823,333.637,344.45,754.827,518.305,571.031,391.258,536.08,452.769
2028-08-01,530.108,434.256,170.725,298.759,384.2,490.734,245.783,597.645,309.634,801.633,367.769,637.924,433.056,553.847,641.069
2028-09-01,349.745,364.559,287.787,382.069,493.923,373.762,238.5,433.381,263.816,510.359,303.841,538.831,469.884,452.185,614.784
2028-10-01,309.459,272.171,216.431,343.891,492.169,325.459,219.11,500.87,261.166,531.898,255.242,525.426,357.102,437.04,549.009
2028-11-01,307.564,339.546,248.333,284.183,432.965,313.326,212.226,649.377,323.765,642.575,308.963,622.156,436.9,477.926,665.927
2028-12-01,461.327,540.608,402.105,430.396,829.557,571.14,334.858,862.384,385.516,881.494,408.266,860.827,610.468,708.07,896.756
2029-01-01,287.695,408.878,273.627,287.312,620.265,439.637,432.294,698.792,276.221,829.158,342.364,766.691,474.358,664.36,638.098
2029-02-01,245.997,308.743,233.494,251.243,516.879,326.988,368.509,567.531,213.047,725.581,247.041,486.59,292.976,500.382,461.356
2029-03-01,159.021,171.633,136.578,162.715,218.557,201.768,248.458,269.223,140.495,400.117,177.237,278.193,175.927,247.589,264.08
2029-04-01,222.123,251.632,228.827,235.842,183.835,219.549,169.601,224.254,205.311,253.528,287.774,218.817,254.034,218.963,201.142
2029-05-01,174.558,237.005,123.263,112.118,290.056,183.837,232.514,195.273,118.577,209.042,115.37,204.245,111.816,198.256,186.482
2029-06-01,352.837,349.86,360.233,236.45,361.211,372.168,255.753,407.024,207.674,558.67,189.436,195.986,213.656,496.862,287.759
2029-07-01,218.299,594.096,299.557,144.096,268.391,461.195,294.154,501.56,154.789,647.372,376.623,330.474,231.496,615.836,171.247
2029-08-01,198.635,722.239,369.782,349.739,567.452,748.645,344.357,578.659,237.302,402.578,332.626,323.696,500.5,855.82,544.409
2029-09-01,243.94,411.956,302.647,213.46,425.193,436.13,310.969,464.035,189.445,359.791,300.161,330.744,381.933,479.833,576.757
2029-10-01,238.462,366.061,273.754,286.624,419.729,453.991,274.678,434.969,210.441,287.028,483.331,309.93,405.783,429.05,430.526
2029-11-01,279.993,473.119,287.7,206.725,370.38,494.582,302.611,500.643,171.018,314.555,479.824,353.526,417.421,468.904,473.277
