Date,CCCMA1,CCCMA2,GFDL1,GFDL2,GISS1,GISS2,HIST,MPI1,MPI2,MRI1,MRI2,NIES1,NIES2,UKMO1,UKMO2
2028-08-01,7.10533,6.26557,3.93604,4.77775,5.68807,6.91336,4.16183,5.30468,4.86765,9.35478,6.05854,8.04079,6.15608,7.7053,7.42022
2028-09-01,5.80755,4.90053,3.43599,5.50339,6.34662,5.57591,3.81956,4.90403,4.14574,7.38892,4.84478,7.01241,5.20293,6.25661,6.73167
2028-10-01,6.79152,6.14514,4.69846,5.52573,6.35409,4.94462,3.82609,11.7446,5.74338,9.8131,6.21358,9.9599,8.53056,7.55678,13.4694
2028-11-01,20.9193,22.6444,17.329,22.1408,30.7324,22.4179,12.9762,35.6819,15.6359,28.7054,17.4866,35.7942,28.8962,27.2745,38.7557
2028-12-01,17.5253,25.1718,15.1382,18.3284,33.3949,24.0809,16.0244,37.0298,15.8575,40.1926,17.4404,46.8174,28.8365,36.5213,34.1225
2029-01-01,17.0823,23.4466,16.9039,19.5475,35.8434,22.0054,23.3256,39.2944,16.0778,50.6138,17.4015,33.6913,21.9538,33.9872,31.3892
2029-02-01,11.8078,13.7145,10.8251,14.1965,17.9417,14.4357,16.7943,19.4617,10.6065,28.8489,13.3039,20.7665,13.7332,19.4733,19.0728
2029-03-01,6.53627,7.67687,6.84585,8.91297,9.63445,9.80516,9.83158,11.4434,6.33529,15.2187,9.37554,11.7365,7.72037,11.4932,10.2698
2029-04-01,5.7373,7.83887,5.30457,6.16442,7.06884,6.46047,6.35997,7.18921,4.44314,8.68379,5.89027,7.49329,5.20253,7.37484,6.71606
2029-05-01,8.43488,8.61108,8.29741,6.43387,10.2424,7.30134,8.0501,7.4245,4.43064,13.7722,4.99488,5.56373,5.31294,10.4872,5.63875
2029-06-01,6.21136,12.1705,7.46039,4.50613,6.92328,8.05823,7.10217,8.37878,3.49279,14.0915,7.34561,5.31207,4.941,13.6003,4.98447
2029-07-01,4.57616,15.1871,8.23646,5.20843,9.26039,10.9124,6.20383,8.02201,3.28015,8.86921,7.58886,5.46851,7.6335,17.3734,7.48883
2029-08-01,3.72775,8.7498,5.47402,3.93689,6.46882,6.99949,4.89643,6.33986,3.29075,6.61958,5.27596,4.5424,6.26341,10.2906,6.68296
2029-09-01,3.57079,6.75333,4.77173,4.83544,6.53551,6.72728,4.2387,5.92158,2.94556,5.17254,5.51982,3.91456,6.1731,8.92548,5.65305
2029-10-01,6.23137,8.31078,7.30825,4.65922,7.65222,8.69624,5.2304,8.14378,3.89711,6.48045,7.15659,6.35282,6.93167,10.6162,8.00108
2029-11-01,17.3744,21.2765,15.8643,13.1387,20.4445,27.5841,16.1815,34.5967,10.7873,21.4144,15.9117,21.8238,27.6715,23.1498,30.0125
2029-12-01,18.2059,31.072,15.9847,13.8031,26.0988,31.7811,18.1899,35.5537,11.0223,17.9527,23.8331,19.1959,26.4358,31.0355,25.3085
2030-01-01,12.96,39.045,15.3574,17.3244,24.3333,33.736,15.751,35.7099,10.4715,12.8715,30.7153,14.1653,27.308,24.3515,24.9207
2030-02-01,8.67009,23.4136,10.442,11.8863,16.3643,18.0851,10.6919,19.1029,7.4397,9.31933,20.0017,8.83646,15.8988,15.9901,15.826
2030-03-01,5.37497,11.5609,7.45223,7.36183,10.4042,11.2123,7.46191,10.9797,5.49865,5.45204,11.6822,5.86144,8.62007,9.11535,8.97967
2030-04-01,3.96774,8.29562,5.01313,9.1526,7.2737,7.09875,5.08671,8.98969,7.90318,4.78979,6.9685,4.26651,6.6236,6.02155,7.33031
2030-05-01,4.08658,8.33463,4.72695,14.0696,8.41046,8.19288,6.84611,8.65758,10.2477,8.10145,5.28719,5.56609,8.93741,8.52771,11.6698
2030-06-01,5.07827,5.80057,4.62598,8.02705,5.83288,8.05395,5.27245,8.83578,7.74362,6.95137,11.5485,6.06367,9.38342,6.52432,9.14317
2030-07-01,14.6066,4.79874,4.33095,6.30331,9.2898,5.42802,5.23078,7.23432,14.4592,5.53042,9.59673,4.83766,13.4271,8.96441,7.54184
2030-08-01,9.1791,4.64636,4.65651,4.94036,7.03316,5.43673,4.67808,6.42166,9.81344,4.82935,8.37533,4.62706,8.36691,7.2291,6.75803
2030-09-01,6.6783,4.29311,4.04054,5.10347,5.86369,4.97941,4.10745,5.53494,7.34394,4.98814,6.49363,3.97378,7.30185,6.18119,6.91402
2030-10-01,7.41938,4.75389,4.93055,5.36038,10.207,8.96087,6.84614,7.39585,15.9673,5.59609,7.18124,8.71458,7.87064,9.27595,7.64628
2030-11-01,27.6371,26.1949,20.6044,24.5639,23.886,35.3467,17.3768,27.1353,37.212,18.8191,29.1875,29.3691,21.6545,25.2629,21.8581
2030-12-01,28.3297,26.9321,20.2348,34.9691,20.5922,29.7895,18.0914,25.3779,32.7961,27.8656,32.2868,26.5082,35.6573,25.5104,27.0041
2031-01-01,33.6759,29.2933,16.9619,44.3067,20.4493,27.2782,19.4129,23.5767,30.6519,31.386,30.9868,21.6642,28.2281,23.9701,21.6422
2031-02-01,19.1321,17.9864,11.2701,25.3281,12.2227,16.9857,12.8404,13.7979,17.5627,19.4876,17.7022,14.0851,15.9705,14.0741,12.7605
2031-03-01,10.5075,9.95001,6.96098,14.5285,6.98977,10.1753,8.06549,7.63014,10.4972,11.7609,9.40689,9.33285,8.88922,7.6085,7.82347
2031-04-01,8.40357,7.23443,4.91728,10.6326,4.95379,6.46073,5.50918,5.81264,6.50194,7.41495,6.36903,7.07864,6.93054,6.41727,5.38223
2031-05-01,9.82096,9.7301,9.77713,11.9372,5.23529,6.97321,4.8002,11.9267,7.81308,13.668,6.83494,6.70427,16.8794,6.38081,7.91687
