," ""CCCMA """"CGCM3"""" a"""," ""CCCMA """"CGCM3"""" b"""," ""GFDL """"CM2"""" a"""," ""GFDL """"CM2"""" b"""," ""GISS """"AOM"""" a"""," ""GISS """"AOM"""" b"""," ""historico mas futuro"""," ""MPI """"ECHAM5"""" a"""," ""MPI """"ECHAM5"""" b"""," ""MRI """"CGCM2.3.2."""" a"""," ""MRI """"CGCM2.3.2."""" b"""," ""NIES """"MIRO3.2."""" a"""," ""NIES """"MIRO3.2."""" b"""," ""UKMO """"HADCM3"""" a"""," ""UKMO """"HADCM3"""" b"""
Aug-31,13.761,8.33977,6.02622,5.22885,6.7897,14.8735,6.79881,11.7012,10.1895,8.58624,7.44334,8.1587,8.78056,8.94867,6.20952
Sep-31,12.9706,7.516,5.84953,5.21898,11.8047,13.2241,7.48117,10.2755,11.2422,8.63305,9.65043,8.23153,9.96456,7.93456,8.62807
Oct-31,8.90832,7.78473,5.74181,7.03116,12.1241,13.9581,8.56303,13.2275,15.0871,10.2979,13.5443,9.95909,12.362,8.98477,9.96533
Nov-31,11.2798,12.2481,5.33175,8.44102,16.6787,15.3112,11.343,17.3718,21.5953,16.2766,19.8776,11.7624,12.2958,12.3312,14.3285
Dec-31,9.57541,10.6283,3.70549,5.70845,13.3262,12.2371,8.05642,13.9135,16.0963,9.76478,18.4188,7.91702,6.72451,8.00943,11.4885
Jan-32,7.47938,7.09179,2.83122,4.29444,8.63506,8.22213,5.53945,8.5677,9.53563,6.52497,11.9892,5.08666,5.7635,5.39121,6.65788
Feb-32,5.43167,5.10526,2.57871,3.64613,5.86195,5.92111,4.19177,6.32287,7.194,5.72484,7.59542,5.50706,4.41232,4.37405,4.87555
Mar-32,4.18141,4.04506,2.13146,2.8858,4.55896,4.39341,3.06701,4.70949,5.29655,3.9602,5.16965,3.54316,3.32168,3.271,4.09512
Apr-32,7.73002,4.17772,2.23819,2.8043,5.75816,9.48414,5.98334,5.04806,5.04657,4.70287,5.36911,3.23439,5.88821,2.91647,3.27663
May-32,6.50693,9.83818,6.26308,3.50233,5.16203,7.35554,5.63741,7.37617,7.67934,6.07778,5.61738,6.00543,4.52406,4.44601,4.65104
Jun-32,12.2064,15.6601,4.24175,7.47134,9.36464,8.74858,4.08044,8.59349,6.5492,6.22019,6.25999,9.44565,10.2721,5.40712,4.9941
Jul-32,10.8451,12.3556,8.41388,7.98234,9.96618,9.88278,4.96323,7.9069,8.56837,5.74148,8.20806,8.81747,7.83175,6.6496,5.06159
Aug-32,9.36779,9.91283,9.06016,5.10235,10.3302,9.07994,4.68557,7.14925,7.35612,6.5759,6.6733,7.51157,6.37967,6.08393,5.88616
Sep-32,8.38643,7.6751,9.14519,6.33539,9.15316,7.75231,4.59991,6.68175,6.62294,7.04685,7.08073,6.93586,6.26736,8.17162,5.39225
Oct-32,10.0783,8.1196,11.2776,7.06958,10.0531,9.86903,5.49886,8.70424,8.50512,8.7484,7.11902,8.60758,9.50224,9.33625,8.10447
