;año,mes,Ojos de Agua,Cipreses,Isla,Colbún,Machicura,San Ignacio,Pehuenche,Curillinque,Loma Alta
1999,11,,36.96,80.69,323.22,287.03,208.73,624.24,101.49,107.18
1999,12,,49.42,96.14,285.65,256.83,180.18,504.77,110.96,119.37
2000,1,,50.51,82.41,149.79,0.00,43.22,234.96,96.61,107.55
2000,2,,47.79,69.37,67.34,0.00,0.00,213.66,70.08,82.50
2000,3,,45.76,65.21,163.80,0.00,0.00,156.83,72.58,77.11
2000,4,,25.80,46.21,222.21,0.00,114.15,132.42,48.39,48.54
2000,5,,13.81,34.82,93.89,0.00,67.55,113.10,33.97,34.47
2000,6,,8.33,43.96,172.40,0.00,113.08,398.11,45.32,42.83
2000,7,,18.01,61.44,377.48,0.00,213.89,449.48,58.38,55.49
2000,8,,33.14,73.84,389.07,0.00,224.54,419.37,87.17,89.54
2000,9,,18.83,62.60,309.35,0.00,196.67,449.13,77.28,99.56
2000,10,,20.12,86.10,332.73,0.00,190.23,596.03,99.22,93.64
2000,11,,36.04,74.87,355.45,0.00,206.65,621.01,68.63,72.03
2000,12,,48.08,90.55,370.42,0.00,217.89,640.21,100.89,107.59
2001,1,,56.60,96.08,246.46,0.00,126.82,466.89,108.29,115.18
2001,2,,50.27,81.35,134.25,0.00,32.74,263.06,94.04,99.57
2001,3,,53.24,79.77,186.51,0.00,107.60,203.79,88.94,97.54
2001,4,,51.88,74.65,209.50,0.00,159.74,188.50,75.24,87.64
2001,5,,41.96,74.08,210.63,0.00,175.89,301.03,81.20,89.47
2001,6,,30.77,76.16,385.30,0.00,215.04,432.60,82.10,89.68
2001,7,,12.07,75.51,376.22,0.00,220.42,558.61,82.58,88.04
2001,8,,35.37,88.66,402.76,0.00,221.39,536.33,99.55,106.17
2001,9,,44.34,85.72,398.03,0.00,217.79,530.26,96.59,102.75
2001,10,,41.48,89.54,392.65,0.00,216.03,615.10,99.54,106.85
2001,11,,50.22,94.82,404.73,0.00,217.48,596.36,68.70,73.80
2001,12,,53.53,97.89,358.23,0.00,188.66,591.09,108.52,116.83
2002,1,,54.07,92.33,185.80,0.00,35.60,311.44,103.55,108.91
2002,2,,45.62,80.66,133.93,0.00,49.81,222.13,90.61,96.61
2002,3,,35.39,67.72,238.95,0.00,151.03,257.64,78.83,80.39
2002,4,,32.62,57.63,262.82,0.00,181.20,216.18,70.28,72.46
2002,5,,36.26,74.14,283.28,0.00,198.56,391.44,81.84,85.38
2002,6,,39.16,79.13,330.98,0.00,208.16,439.89,76.09,80.19
2002,7,,28.77,77.27,316.61,0.00,216.99,411.87,91.07,96.55
2002,8,,19.56,75.03,358.91,0.00,220.66,504.77,86.87,91.41
2002,9,,13.46,80.61,368.51,0.00,216.66,520.84,85.74,89.05
2002,10,,39.55,89.27,354.97,0.00,219.94,533.84,93.09,99.38
2002,11,,45.87,90.42,343.16,0.00,199.94,511.79,99.67,105.62
2002,12,,51.90,95.18,326.75,0.00,189.73,604.84,103.96,110.91
2003,1,,55.15,97.39,414.21,0.00,222.72,600.30,106.08,113.87
2003,2,,50.52,86.44,225.54,0.00,111.87,343.98,95.90,101.83
2003,3,,49.07,91.00,250.72,0.00,147.95,248.18,100.64,106.56
2003,4,,38.62,80.20,257.87,0.00,119.63,215.09,90.75,96.74
2003,5,,33.94,81.09,237.37,0.00,188.49,219.02,88.64,94.20
2003,6,,25.52,78.22,214.62,0.00,159.42,405.73,86.15,75.66
2003,7,,36.11,91.30,385.35,0.00,224.87,436.27,85.13,105.51
2003,8,,46.43,84.32,299.50,0.00,212.09,313.61,103.18,110.93
2003,9,,28.36,91.20,170.11,0.00,133.84,358.54,104.18,112.04
