Date,CCCMA1,CCCMA2,GFDL1,GFDL2,GISS1,GISS2,MPI1,MPI2,MRI1,MRI2,NIES1,NIES2,UKMO1,UKMO2
2024-09-01,260.3903559,214.4416682,195.1686621,211.9505549,247.7726476,245.7567797,441.0672633,304.9390293,135.4809775,215.1068831,163.9737867,234.1870528,196.9015058,236.4877081
2024-10-01,256.5566998,271.9733909,251.3057009,283.6309228,279.7450665,278.6976473,357.9150586,291.8502873,196.6520114,284.0401644,211.5002613,269.0376972,214.4801287,295.9830613
2024-11-01,351.3103911,347.3675369,333.7519113,356.0966064,412.0029013,367.7641884,488.7011932,384.3550443,309.5716923,363.2859945,308.8090707,429.7796699,354.574364,359.6446136
2024-12-01,322.7434451,372.1103276,344.1721406,328.3816143,396.3232109,337.2559931,478.2354326,343.5438406,263.245424,356.0789309,290.540002,422.8110897,318.4382042,355.4999124
2025-01-01,285.8646573,328.031381,303.9015789,304.0414021,349.4233556,281.7274771,407.942714,304.1815158,167.6741745,332.4449494,205.1640806,345.5248108,270.6818943,334.9550295
2025-02-01,259.0686846,302.3862494,278.3515455,281.5455351,315.1736291,196.8436714,414.8443371,277.7968766,140.2928304,308.9838411,158.0339637,315.2321582,184.6745738,304.3525195
2025-03-01,176.4449858,185.4426159,162.6570412,181.5488485,197.3029684,117.3130108,270.549064,165.1577051,82.74460185,193.1150483,95.05382383,193.1333038,116.6335436,195.2926224
2025-04-01,247.5511747,322.8442402,123.7723303,323.4336881,168.0966407,113.3439231,185.3939155,432.4610923,82.80560751,350.9102025,202.4010844,187.3631597,105.3064152,337.22463
2025-05-01,261.9925977,120.2192391,106.1232867,208.0196544,632.2744577,209.2653977,208.9952107,141.2962336,106.9776734,128.8564156,327.772211,538.0649604,208.9354254,196.5738527
2025-06-01,499.9134006,376.0528899,129.6964791,421.7022806,347.2321156,355.2842063,175.7770555,126.096913,262.0645348,254.6533154,230.1751897,223.658234,216.9233884,596.9606905
2025-07-01,213.0919024,183.8231175,123.8569911,282.7580987,291.0641442,147.2568254,184.3680871,114.2892007,196.9060112,232.5907736,262.3168964,235.4518943,247.7176523,234.2554005
2025-08-01,171.7563923,174.8629332,114.9749986,200.1613072,455.9111517,126.2362315,343.2747338,127.9396699,149.1747102,192.3701706,191.4917981,169.322184,162.1152823,183.157942
2025-09-01,186.4643121,172.4660802,128.3020669,214.6431681,456.6024944,187.9191708,254.3999804,135.7191938,204.4969419,218.9340446,214.5398501,173.4803339,243.9074183,184.7002137
2025-10-01,234.4846132,226.7001586,136.3208383,246.8373539,308.4983586,233.1559306,246.8574236,213.9961717,230.9664671,352.0804164,279.0047329,251.6851673,320.7907693,248.0017831
2025-11-01,358.9675805,324.233192,294.6534353,390.2769258,377.3331484,347.0735244,330.916383,315.4784338,352.5098782,404.0302785,392.9034699,328.1696013,419.7201894,432.1346872
2025-12-01,354.3961398,330.9694833,199.791221,342.9088772,402.8037292,320.8217899,301.7193879,321.0909458,343.3473354,401.4633686,385.1818368,292.4567789,398.4017899,342.7576603
2026-01-01,328.0776963,290.5494483,181.0900431,331.5294454,392.4558474,313.1579938,274.5850558,236.4963094,312.7038215,372.7899522,328.6756018,268.7728932,369.8363549,321.6016572
2026-02-01,298.8546992,241.4442338,149.440905,303.4437641,327.596443,245.1515355,236.7008481,185.604464,260.1428138,336.5998421,298.6535302,229.1645096,329.4509572,290.721008
2026-03-01,176.2985875,156.3778452,94.79883568,186.6553367,223.4524641,150.5064166,188.7345061,114.3548592,157.0768047,225.742305,192.2392959,105.1812107,205.4316748,188.3396363
2026-04-01,142.9379702,128.5203314,86.81958143,310.323796,180.546825,172.016001,92.18815904,116.62369,217.4203036,172.4113007,489.6842916,144.1519451,176.9270299,272.3806213
2026-05-01,126.4921794,275.7154346,345.7683304,239.0626178,241.8926447,149.0589144,108.8402254,179.708017,160.418271,150.2783398,195.8629872,308.2469812,630.2967051,157.3796227
2026-06-01,165.4008287,560.8535676,156.979407,394.3345741,440.1716687,379.274403,290.5167664,323.3350074,153.1548003,191.512546,383.7744247,251.7554467,252.4224585,254.4292534
2026-07-01,187.2734664,366.6896536,263.6379728,209.3786509,492.7969572,191.8332491,364.5351303,156.5338066,201.0816693,287.7881685,181.6332466,224.456212,267.5268545,359.5272418
2026-08-01,290.7904111,255.7807852,208.5272183,185.1248974,424.5109404,235.0891867,174.4202122,155.7464995,206.3119793,334.3802365,184.8731192,170.311626,335.540512,512.6312316
2026-09-01,200.078303,268.134145,215.9983486,215.0141752,423.1221847,271.6507037,198.3432997,178.1355889,195.0699622,367.9252234,175.8340254,204.0760313,386.8560564,598.3163621
2026-10-01,351.918671,264.2662606,278.5127294,241.2537289,292.0991136,302.4954868,264.4823617,247.4502805,224.2114631,319.331849,242.4745992,258.3384996,298.4081335,428.1442745
2026-11-01,348.4107638,345.6479398,401.4066172,398.5115294,381.5463924,405.0895961,386.0081796,363.8035759,333.0105704,386.971613,378.1126895,341.6860405,398.0707139,527.5400229
2026-12-01,290.7902665,346.9955429,356.6259686,348.7588686,350.3686628,398.1986432,321.7786372,309.7530698,314.4833852,402.0137503,330.2258572,311.3377321,403.0690904,400.9662572
2027-01-01,212.4063809,305.6250579,320.1176664,328.4614452,300.8482366,408.5049196,287.2484764,269.9418711,277.132179,364.7892875,281.0502385,276.9871289,385.7807734,410.0549537
2027-02-01,177.6048364,282.0757446,300.3515178,318.1651864,273.4274701,370.679904,227.2607516,185.3913083,253.9244426,326.8648302,289.8927088,215.6007797,316.276939,415.3482862
2027-03-01,104.450146,170.253474,209.0064033,214.8368405,163.2671004,214.3539836,126.2846141,119.192476,136.4014765,214.7971512,127.3111802,114.7758685,183.143152,271.4338596
2027-04-01,141.3976343,310.263929,473.3869473,168.3156694,333.9876655,167.1359806,147.5869878,122.8835549,103.041205,161.4828008,167.5681874,96.06776403,570.2171315,183.967848
