;año,mes,L. LAJA,L. MAULE,E. RAPEL,L. INVERNADAD,L. CHAPO,E. COLBUN,E. MELADO,E. RALCO,,,
1996 ,2,"1,346 ","2,177 ",103.7 ,"1,318 ",241.1 ,434 ,646 ,0 ,,,
1996 ,3,"1,344 ","2,177 ",104.1 ,"1,316 ",240.9 ,431 ,647 ,0 ,,,
1996 ,4,"1,341 ","2,176 ",104.7 ,"1,314 ",239.8 ,428 ,646 ,0 ,,,
1996 ,5,"1,338 ","2,173 ",104.1 ,"1,314 ",238.0 ,428 ,646 ,0 ,,,
1996 ,6,"1,335 ","2,171 ",103.8 ,"1,307 ",237.6 ,422 ,645 ,0 ,,,
1996 ,7,"1,333 ","2,171 ",102.4 ,"1,302 ",236.0 ,421 ,646 ,0 ,,,
1996 ,8,"1,330 ","2,170 ",103.4 ,"1,293 ",234.4 ,421 ,644 ,0 ,,,
1996 ,9,"1,328 ","2,169 ",104.4 ,"1,287 ",235.3 ,425 ,645 ,0 ,,,
1996 ,10,"1,326 ","2,169 ",103.0 ,"1,286 ",235.9 ,427 ,646 ,0 ,,,
1996 ,11,"1,325 ","2,169 ",100.0 ,"1,287 ",234.9,426.2,645.2,0 ,,,
1996 ,12,"1,323 ","2,169 ",99.7 ,"1,289 ",233.2 ,424 ,646 ,0 ,,,
1997 ,1,"1,320 ","2,167 ",99.6 ,"1,285 ",232.1 ,423 ,645 ,0 ,,,
1997 ,2,"1,316 ","2,164 ",99.4 ,"1,282 ",233.1 ,422 ,644 ,0 ,,,
1997 ,3,"1,313 ","2,161 ",99.5 ,"1,282 ",230.6 ,422 ,644 ,0 ,,,
1997 ,4,"1,309 ","2,159 ",101.6 ,"1,282 ",226.9 ,416 ,644 ,0 ,,,
1997 ,5,"1,308 ","2,157 ",101.4 ,"1,284 ",229.2 ,418 ,648 ,0 ,,,
1997 ,6,"1,308 ","2,157 ",103.0 ,"1,285 ",226.8 ,423 ,646 ,0 ,,,
1997 ,7,"1,314 ","2,158 ",103.7 ,"1,292 ",231.9 ,437 ,643 ,0 ,,,
1997 ,8,"1,316 ","2,158 ",104.5 ,"1,285 ",236.4 ,436 ,648 ,0 ,,,
1997 ,9,"1,321 ","2,159 ",104.7 ,"1,296 ",238.8 ,436 ,648 ,0 ,,,
1997 ,10,"1,325 ","2,160 ",104.0 ,"1,308 ",241.7 ,436 ,646 ,0 ,,,
1997 ,11,"1,327 ","2,161 ",103.6 ,"1,313 ",242.7 ,436 ,646 ,0 ,,,
1997 ,12,"1,330 ","2,163 ",104.7 ,"1,318 ",243.0 ,437 ,647 ,0 ,,,
1998 ,1,"1,332 ","2,163 ",104.5 ,"1,318 ",242.7 ,437 ,646 ,0 ,,,
1998 ,2,"1,331 ","2,165 ",104.5 ,"1,318 ",241.4 ,434 ,646 ,0 ,,,
1998 ,3,"1,329 ","2,165 ",104.6 ,"1,318 ",238.0 ,430 ,644 ,0 ,,,
1998 ,4,"1,325 ","2,165 ",103.6 ,"1,318 ",234.8 ,422 ,643 ,0 ,,,
1998 ,5,"1,322 ","2,165 ",102.1 ,"1,317 ",232.1 ,417 ,642 ,0 ,,,
1998 ,6,"1,318 ","2,165 ",102.2 ,"1,309 ",230.3 ,412 ,647 ,0 ,,,
1998 ,7,"1,317 ","2,166 ",101.2 ,"1,300 ",228.8 ,403 ,645 ,0 ,,,
1998 ,8,"1,314 ","2,166 ",99.8 ,"1,285 ",228.1 ,399 ,642 ,0 ,,,
1998 ,9,"1,311 ","2,164 ",99.9 ,"1,281 ",228.4 ,401 ,644 ,0 ,,,
1998 ,10,"1,311 ","2,163 ",101.3 ,"1,281 ",226.0 ,406 ,643 ,0 ,,,
1998 ,11,"1,311 ","2,163 ",101.3 ,"1,286 ",224.4 ,405 ,642 ,0 ,,,
1998 ,12,"1,310 ","2,162 ",98.7 ,"1,284 ",222.4 ,401 ,644 ,0 ,,,
1999 ,1,"1,308 ","2,160 ",99 ,"1,284 ",221 ,400 ,642 ,0 ,,,
1999 ,2,"1,307 ","2,158 ",100.1 ,"1,283 ",220.8 ,397 ,645 ,0 ,,,
1999 ,3,"1,305 ","2,156 ",99.6 ,"1,282 ",220.5 ,395 ,642 ,0 ,,,
1999 ,4,"1,304 ","2,155 ",97.6 ,"1,282 ",220.0 ,394 ,640 ,0 ,,,
1999 ,5,"1,303 ","2,154 ",96.7 ,"1,282 ",220.0 ,394 ,640 ,0 ,,,
1999 ,6,"1,304 ","2,154 ",99.1 ,"1,282 ",222.1 ,394 ,641 ,0 ,,,
1999 ,7,"1,305 ","2,155 ",102.0 ,"1,285 ",225.0 ,405 ,646 ,0 ,,,
1999 ,8,"1,306 ","2,155 ",103.1 ,"1,287 ",227.2 ,414 ,643 ,0 ,,,
1999 ,9,"1,309 ","2,155 ",104.1 ,"1,290 ",230.9 ,422 ,646 ,0 ,,,
1999 ,10,"1,312 ","2,156 ",104.5 ,"1,292 ",234.1 ,432 ,646 ,0 ,,,
1999 ,11,"1,317 ","2,157 ",103.3 ,"1,294 ",233.5 ,437 ,648 ,0 ,,,
1999 ,12,"1,320 ","2,158 ",101.8 ,"1,308 ",234.8 ,437 ,648 ,0 ,,,
2000 ,1,"1,321 ","2,159 ",103.3 ,"1,313 ",236.6 ,434 ,645 ,0 ,,,
2000 ,2,"1,319 ","2,159 ",103.9 ,"1,310 ",235.3 ,430 ,646 ,0 ,,,
2000 ,3,"1,318 ","2,160 ",104.2 ,"1,302 ",234.0 ,432 ,644 ,0 ,,,
2000 ,4,"1,316 ","2,160 ",101.8 ,"1,291 ",231.0 ,426 ,646 ,0 ,,,
2000 ,5,"1,315 ","2,160 ",100.6 ,"1,284 ",228.6 ,417 ,643 ,0 ,,,
2000 ,6,"1,314 ","2,160 ",101.9 ,"1,284 ",226.2 ,416 ,645 ,0 ,,,
2000 ,7,"1,317 ","2,161 ",104.4 ,"1,294 ",231.8 ,434 ,648 ,0 ,,,
