#,,Pp Banda 1,Pp Banda 2,Pp Banda 3,Pp Banda 4,Pp Banda 5,Pp Banda 6,Pp Banda 7,Pp Banda 8
1982,6,1145,1129.1,1113.1,1097.2,1081.3,1065.4,1049.4,1033.5
1982,7,1226.6,1209.5,1192.4,1175.4,1158.3,1141.3,1124.2,1107.1
1982,8,185.6,183.1,180.5,177.9,175.3,172.7,170.1,167.6
1982,9,149.8,147.7,145.6,143.6,141.5,139.4,137.3,135.2
1982,10,339.6,334.8,330.1,325.4,320.7,316,311.2,306.5
1982,11,2.4,2.4,2.3,2.3,2.3,2.2,2.2,2.2
1982,12,90.5,89.3,88,86.7,85.5,84.2,83,81.7
1983,1,2.3,2.3,2.3,2.2,2.2,2.2,2.1,2.1
1983,2,0,0,0,0,0,0,0,0
1983,3,9.8,9.7,9.5,9.4,9.2,9.1,9,8.8
1983,4,38,37.4,36.8,36.2,35.6,35,34.4,33.8
1983,5,176.8,174,171.1,168.3,165.5,162.7,159.9,157.1
1983,6,514.9,506.7,498.6,490.4,482.2,474,465.9,457.7
1983,7,1393.5,1371.4,1349.2,1327.1,1305,1282.8,1260.7,1238.6
1983,8,454.2,447,439.8,432.5,425.3,418.1,410.9,403.7
1983,9,87.7,86.3,84.9,83.5,82.2,80.8,79.4,78
1983,10,352.6,347,341.4,335.8,330.2,324.6,319,313.4
1983,11,5.9,5.8,5.7,5.6,5.5,5.4,5.3,5.2
1983,12,217.5,214,210.6,207.1,203.7,200.2,196.8,193.3
1984,1,0,0,0,0,0,0,0,0
1984,2,0,0,0,0,0,0,0,0
1984,3,42.5,41.8,41.1,40.5,39.8,39.1,38.4,37.8
1984,4,85.3,83.6,82,80.3,78.6,77,75.3,73.7
1984,5,1214.4,1190.8,1167.2,1143.5,1119.9,1096.2,1072.6,1048.9
1984,6,420.3,412.1,403.9,395.7,387.6,379.4,371.2,363
1984,7,682.2,668.9,655.7,642.4,629.1,615.8,602.5,589.3
1984,8,122.4,120,117.6,115.2,112.9,110.5,108.1,105.7
1984,9,36,35.3,34.6,33.9,33.2,32.5,31.8,31.1
1984,10,25.9,25.4,24.8,24.3,23.8,23.3,22.8,22.3
1984,11,16.8,16.4,16.1,15.8,15.5,15.1,14.8,14.5
1984,12,0,0,0,0,0,0,0,0
1985,1,25.8,25.3,24.8,24.3,23.8,23.3,22.8,22.3
1985,2,0,0,0,0,0,0,0,0
1985,3,48.9,48,47,46.1,45.1,44.2,43.2,42.3
1985,4,94.4,92.6,90.8,89,87.3,85.5,83.7,81.9
1985,5,414.1,406.3,398.5,390.6,382.8,375,367.2,359.3
1985,6,237,232.5,228,223.6,219.1,214.6,210.1,205.6
1985,7,884.2,867.5,850.8,834.1,817.3,800.6,783.9,767.2
1985,8,626.8,614.9,603.1,591.2,579.4,567.6,555.7,543.9
1985,9,350,343.4,336.8,330.2,323.5,316.9,310.3,303.7
1985,10,62.5,61.4,60.2,59,57.8,56.6,55.5,54.3
1985,11,0,0,0,0,0,0,0,0
1985,12,19.1,18.8,18.4,18,17.7,17.3,17,16.6
1986,1,43.9,43,42.2,41.4,40.6,39.7,38.9,38.1
1986,2,1.5,1.5,1.4,1.4,1.4,1.3,1.3,1.3
1986,3,26.1,25.6,25.1,24.6,24.1,23.6,23.2,22.7
1986,4,92.2,89.5,86.8,84.1,81.5,78.8,76.1,73.4
1986,5,258.5,251,243.5,236,228.5,221,213.5,206
1986,6,160.7,156,151.4,146.7,142,137.4,132.7,128
1986,7,303.4,294.5,285.7,276.9,268.1,259.3,250.5,241.7
1986,8,590.1,573,555.9,538.7,521.6,504.5,487.3,470.2
1986,9,191.9,186.4,180.8,175.2,169.7,164.1,158.5,152.9
1986,10,0,0,0,0,0,0,0,0
1986,11,159.7,155,150.4,145.8,141.1,136.5,131.8,127.2
1986,12,0,0,0,0,0,0,0,0
1987,1,11.4,11.1,10.7,10.4,10.1,9.7,9.4,9.1
1987,2,28.2,27.3,26.5,25.7,24.9,24.1,23.3,22.4
1987,3,0,0,0,0,0,0,0,0
1987,4,378.1,373.2,368.3,363.3,358.4,353.5,348.5,343.6
1987,5,330.9,326.6,322.3,318,313.7,309.3,305,300.7
1987,6,1131.9,1117.1,1102.3,1087.6,1072.8,1058,1043.2,1028.4
1987,7,1519.1,1499.2,1479.4,1459.6,1439.7,1419.9,1400.1,1380.2
