#,,Pp Banda 1,Pp Banda 2,Pp Banda 3,Pp Banda 4,Pp Banda 5,Pp Banda 6,Pp Banda 7,Pp Banda 8
1984,12,19,18.6,18.3,17.9,17.6,17.2,16.9,16.5
1985,1,44.3,43.5,42.6,41.8,41,40.1,39.3,38.5
1985,2,1.5,1.5,1.5,1.4,1.4,1.4,1.3,1.3
1985,3,26.4,25.9,25.4,24.9,24.4,23.9,23.4,22.9
1985,4,93.3,90.6,87.8,85.1,82.3,79.6,76.8,74.1
1985,5,263.5,255.8,248,240.2,232.4,224.7,216.9,209.1
1985,6,164.3,159.5,154.6,149.8,144.9,140.1,135.2,130.4
1985,7,309,299.9,290.7,281.6,272.5,263.4,254.3,245.2
1985,8,601,583.2,565.5,547.8,530.1,512.3,494.6,476.9
1985,9,195.8,190,184.3,178.5,172.7,166.9,161.2,155.4
1985,10,0,0,0,0,0,0,0,0
1985,11,101,98,95.1,92.1,89.1,86.1,83.1,80.2
1985,12,0,0,0,0,0,0,0,0
1986,1,11.5,11.2,10.8,10.5,10.2,9.8,9.5,9.1
1986,2,28.2,27.4,26.6,25.7,24.9,24.1,23.2,22.4
1986,3,0,0,0,0,0,0,0,0
1986,4,378.9,373.9,369,364,359,354,349.1,344.1
1986,5,331.2,326.9,322.5,318.2,313.9,309.5,305.2,300.8
1986,6,1109.6,1095,1080.5,1065.9,1051.4,1036.8,1022.3,1007.7
1986,7,1521.9,1501.9,1482,1462,1442,1422.1,1402.1,1382.2
1986,8,30.6,30.2,29.8,29.4,29,28.6,28.2,27.8
1986,9,486.7,480.3,473.9,467.6,461.2,454.8,448.4,442
1986,10,34.9,34.4,34,33.5,33.1,32.6,32.1,31.7
1986,11,69.6,68.7,67.8,66.9,66,65,64.1,63.2
1986,12,0,0,0,0,0,0,0,0
1987,1,0,0,0,0,0,0,0,0
1987,2,8.6,8.5,8.4,8.3,8.2,8.1,8,7.8
1987,3,3.3,3.3,3.2,3.2,3.1,3.1,3,3
1987,4,74.8,73.1,71.4,69.8,68.1,66.4,64.7,63
1987,5,243.8,238.3,232.8,227.3,221.8,216.3,210.8,205.3
1987,6,821,802.5,784,765.4,746.9,728.4,709.9,691.3
1987,7,65.4,64,62.5,61,59.5,58.1,56.6,55.1
1987,8,154.1,150.7,147.2,143.7,140.2,136.7,133.3,129.8
1987,9,34.2,33.4,32.7,31.9,31.1,30.3,29.6,28.8
1987,10,236,230.6,225.3,220,214.7,209.3,204,198.7
1987,11,117.9,115.3,112.6,109.9,107.3,104.6,102,99.3
1987,12,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2
1988,1,65.8,64.3,62.8,61.3,59.8,58.3,56.8,55.4
1988,2,12.4,12.1,11.8,11.5,11.2,11,10.7,10.4
1988,3,484.4,473.5,462.5,451.6,440.7,429.7,418.8,407.9
1988,4,292.8,284.8,276.8,268.8,260.8,252.8,244.8,236.8
