#,Banda,2850,2550,2250,1950,1547.5
1984,10,3.45,4.68,5.91,7.14,8.79
1984,11,5.11,6.4,7.68,8.97,10.69
1984,12,9.6,10.66,11.71,12.77,14.19
1985,1,11.06,11.96,12.85,13.75,14.96
1985,2,12.12,12.77,13.43,14.08,14.96
1985,3,10.46,11.14,11.82,12.49,13.4
1985,4,5.92,6.63,7.35,8.06,9.02
1985,5,1.67,2.66,3.65,4.65,5.98
1985,6,-1.02,-0.29,0.45,1.19,2.18
1985,7,-2.81,-1.72,-0.63,0.46,1.93
1985,8,-1.84,-0.67,0.5,1.67,3.24
1985,9,-0.16,1.04,2.24,3.44,5.06
1985,10,2.8,3.8,4.8,5.8,7.14
1985,11,4.42,5.53,6.64,7.75,9.24
1985,12,9.31,10.34,11.37,12.39,13.77
1986,1,10.56,11.42,12.28,13.13,14.28
1986,2,12.44,13.11,13.78,14.45,15.36
1986,3,9.69,10.32,10.94,11.57,12.41
1986,4,6.94,7.78,8.62,9.46,10.59
1986,5,1.67,2.66,3.65,4.65,5.98
1986,6,-1.12,-0.31,0.49,1.3,2.38
1986,7,-3.15,-1.93,-0.7,0.52,2.15
1986,8,-1.62,-0.59,0.44,1.47,2.85
1986,9,-0.14,0.88,1.89,2.91,4.27
1986,10,3.17,4.3,5.44,6.57,8.09
1986,11,5.48,6.85,8.23,9.6,11.45
1986,12,8.79,9.76,10.73,11.7,13
1987,1,10.51,11.36,12.21,13.06,14.21
1987,2,11.73,12.37,13,13.64,14.49
1987,3,9.69,10.32,10.94,11.57,12.41
1987,4,6.76,7.57,8.39,9.21,10.3
1987,5,1.64,2.61,3.59,4.56,5.87
1987,6,-1.46,-0.41,0.64,1.7,3.11
1987,7,-3.08,-1.88,-0.69,0.51,2.11
1987,8,-1.62,-0.59,0.44,1.47,2.85
1987,9,-0.14,0.87,1.87,2.88,4.23
1987,10,3.27,4.43,5.59,6.76,8.32
1987,11,4.78,5.98,7.18,8.38,9.99
1987,12,8.93,9.92,10.9,11.89,13.21
1988,1,11.45,12.37,13.3,14.23,15.48
1988,2,11.73,12.37,13,13.64,14.49
1988,3,9.69,10.32,10.94,11.57,12.41
1988,4,6.2,6.95,7.7,8.44,9.45
1988,5,1.61,2.56,3.52,4.48,5.76
1988,6,-1.4,-0.39,0.62,1.62,2.97
1988,7,-2.41,-1.47,-0.54,0.4,1.65
1988,8,-1.66,-0.6,0.45,1.5,2.92
1988,9,-0.18,1.1,2.38,3.66,5.38
1988,10,3.1,4.21,5.32,6.42,7.91
1988,11,4.78,5.98,7.18,8.38,9.99
