#,,Banda 1-FC,Banda 2-FC,Banda 3-FC,Banda 4-FC,Banda 5-FC,Banda 6-FC,Banda 7-FC,Banda 8-FC
#,Banda,3460.5,3150.5,2840.5,2530.5,2220.5,1910.5,1600.5,1290.5
#,Mes,T [ºC],T [ºC],T [ºC],T [ºC],T [ºC],T [ºC],T [ºC],T [ºC]
1984,4,4.281,4.990,5.699,6.408,7.117,7.826,8.535,9.244
1984,5,-0.361,0.685,1.732,2.778,3.824,4.870,5.916,6.962
1984,6,-1.707,-1.192,-0.677,-0.161,0.354,0.870,1.385,1.900
1984,7,-3.659,-2.840,-2.020,-1.200,-0.380,0.440,1.260,2.080
1984,8,-4.559,-3.253,-1.947,-0.641,0.665,1.971,3.277,4.584
1984,9,-2.645,-1.387,-0.128,1.130,2.389,3.647,4.905,6.164
1984,10,0.633,1.482,2.332,3.182,4.032,4.881,5.731,6.581
1984,11,2.065,3.160,4.256,5.351,6.447,7.542,8.638,9.733
1984,12,7.506,8.608,9.710,10.812,11.913,13.015,14.117,15.218
1985,1,8.694,9.568,10.442,11.316,12.190,13.065,13.939,14.813
1985,2,11.148,11.847,12.546,13.245,13.944,14.643,15.342,16.041
1985,3,8.495,9.147,9.800,10.452,11.104,11.757,12.409,13.061
1985,4,5.506,6.418,7.330,8.242,9.154,10.066,10.978,11.890
1985,5,-0.361,0.687,1.735,2.784,3.832,4.880,5.929,6.977
1985,6,-2.157,-1.506,-0.855,-0.204,0.447,1.098,1.749,2.400
1985,7,-6.597,-5.119,-3.641,-2.163,-0.684,0.794,2.272,3.750
1985,8,-2.960,-2.112,-1.264,-0.416,0.432,1.280,2.128,2.975
1985,9,-1.860,-0.975,-0.090,0.795,1.680,2.565,3.450,4.336
1985,10,0.880,2.063,3.246,4.428,5.611,6.794,7.976,9.159
1985,11,2.840,4.347,5.854,7.360,8.867,10.374,11.881,13.388
1985,12,6.720,7.707,8.693,9.679,10.666,11.652,12.639,13.625
1986,1,8.597,9.462,10.326,11.190,12.055,12.919,13.783,14.648
1986,2,10.168,10.806,11.443,12.081,12.718,13.356,13.993,14.631
1986,3,8.495,9.148,9.800,10.453,11.105,11.757,12.410,13.062
1986,4,5.276,6.150,7.024,7.898,8.772,9.646,10.519,11.393
1986,5,-0.356,0.676,1.707,2.739,3.770,4.802,5.833,6.865
1986,6,-3.710,-2.590,-1.470,-0.350,0.770,1.890,3.010,4.130
1986,7,-5.909,-4.585,-3.261,-1.937,-0.613,0.711,2.035,3.359
1986,8,-2.953,-2.107,-1.261,-0.415,0.431,1.277,2.123,2.969
1986,9,-1.821,-0.955,-0.088,0.778,1.645,2.512,3.378,4.245
1986,10,0.941,2.206,3.471,4.735,6.000,7.265,8.529,9.794
1986,11,2.336,3.576,4.815,6.055,7.295,8.534,9.774,11.013
1986,12,6.977,8.001,9.026,10.050,11.074,12.098,13.122,14.146
1987,1,9.783,10.767,11.750,12.734,13.717,14.701,15.684,16.668
1987,2,10.083,10.715,11.348,11.980,12.612,13.244,13.876,14.509
1987,3,8.493,9.145,9.798,10.450,11.102,11.754,12.407,13.059
1987,4,4.601,5.363,6.125,6.887,7.649,8.411,9.173,9.935
1987,5,-0.344,0.654,1.652,2.650,3.648,4.646,5.644,6.642
1987,6,-3.417,-2.385,-1.354,-0.323,0.709,1.740,2.772,3.803
1987,7,-2.581,-2.002,-1.424,-0.846,-0.268,0.311,0.889,1.467
1987,8,-3.321,-2.370,-1.418,-0.467,0.485,1.436,2.388,3.339
1987,9,-2.897,-1.519,-0.140,1.238,2.616,3.994,5.372,6.751
1987,10,0.827,1.937,3.048,4.158,5.268,6.379,7.489,8.600
1987,11,2.337,3.577,4.817,6.057,7.296,8.536,9.776,11.016
1987,12,7.099,8.141,9.183,10.225,11.266,12.308,13.350,14.392
1988,1,8.880,9.773,10.665,11.558,12.451,13.343,14.236,15.129
1988,2,9.741,10.352,10.963,11.574,12.184,12.795,13.406,14.017
1988,3,8.282,8.918,9.554,10.190,10.826,11.462,12.098,12.734
1988,4,4.437,5.171,5.906,6.641,7.376,8.111,8.845,9.580
1988,5,-0.282,0.535,1.352,2.168,2.985,3.801,4.618,5.435
1988,6,-2.812,-1.963,-1.114,-0.265,0.583,1.432,2.281,3.130
1988,7,-0.153,-0.119,-0.084,-0.050,-0.016,0.018,0.053,0.087
1988,8,-3.413,-2.435,-1.458,-0.480,0.498,1.476,2.454,3.431
1988,9,-2.598,-1.362,-0.126,1.110,2.346,3.582,4.818,6.054
1988,10,0.757,1.774,2.791,3.808,4.825,5.842,6.859,7.876
1988,11,2.587,3.959,5.331,6.704,8.076,9.449,10.821,12.193
1988,12,6.333,7.262,8.192,9.121,10.050,10.980,11.909,12.839
1989,1,9.301,10.236,11.171,12.106,13.041,13.976,14.911,15.846
1989,2,10.510,11.169,11.828,12.487,13.146,13.805,14.464,15.123
1989,3,8.662,9.327,9.992,10.658,11.323,11.988,12.653,13.318
1989,4,3.565,4.156,4.746,5.337,5.927,6.518,7.108,7.698
1989,5,-0.374,0.711,1.796,2.881,3.966,5.051,6.136,7.220
1989,6,-4.296,-2.999,-1.702,-0.406,0.891,2.188,3.485,4.782
1989,7,-4.934,-3.829,-2.723,-1.617,-0.512,0.594,1.699,2.805
1989,8,-3.170,-2.262,-1.354,-0.446,0.463,1.371,2.279,3.187
1989,9,-2.181,-1.143,-0.106,0.932,1.970,3.008,4.045,5.083
1989,10,0.790,1.850,2.911,3.971,5.032,6.092,7.153,8.213
1989,11,2.202,3.370,4.539,5.707,6.875,8.044,9.212,10.380
1989,12,7.671,8.797,9.923,11.049,12.175,13.301,14.427,15.552
1990,1,10.118,11.135,12.153,13.170,14.187,15.204,16.221,17.239
1990,2,10.573,11.236,11.898,12.561,13.224,13.887,14.550,15.213
1990,3,7.486,8.061,8.636,9.211,9.786,10.361,10.936,11.511
1990,4,4.518,5.266,6.014,6.763,7.511,8.259,9.007,9.756
