Recorder,diasdelmes_recorder,Generacion_Cipreses,Generacion_CentralIsla,Generacion_CentralCurrilinque,Generacion_CentralLomaAlta,Generacion_CentralPehuenche,Generacion_CentralChiburgo,Generacion_CentralColbun,Generacion_CentralMachicura,Generacion_CentralSanIgnacio,Deficit_Melado,Deficit_ParticularesRiberaSur,Deficit_ParticularesRiberaNorte,Deficit_CooperativaDeRiego,Deficit_AsociacionCanalMaule,Deficit_AsociacionMauleSur,Deficit_SORPAM,Deficit_GarzasySuizas,Caudal_Remanente_mensual,segundosdelmes_recorder
1985-05,0.032258,1986.295298833674,1458.2973964188277,1895.134157480796,817.3422028799993,7901.475956350953,141.15937988159996,7926.078506571455,1637.13375235512,850.4752032000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235805327,16664071.680000002,1.574074074074074e-05
1985-06,0.033333,1978.1857485437781,1405.3351043591997,1826.3068736996158,817.34220288,8200.246095876973,141.15937988159996,8280.551247795744,1710.4465210856329,850.4752032000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1637.4543462771999,17469754.64298488,1.574074074074074e-05
1985-07,0.032258,1966.6158937501789,1381.8452270709597,1795.7805428474207,817.34220288,8513.371765317459,141.15937988159996,8836.85775119313,1825.3196695171591,850.4752032000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235805327,18732172.36636837,1.574074074074074e-05
1985-08,0.032258,1942.0036120772118,1436.8070823540472,1867.2063641931102,817.3422028799997,6718.316177275291,141.15937988159996,6823.472366635537,1409.287407832252,723.4257479326257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235805327,14160116.078006003,1.574074074074074e-05
1985-09,0.033333,1744.6830820841662,1407.44197357344,1829.0448610422914,817.34220288,6795.387506752968,211.73906982239993,6746.931651589575,1393.382965295112,683.3535957116266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2456.1815194158007,13321589.460334973,1.574074074074074e-05
1985-10,0.032258,890.3097727828849,1136.5555778466266,1477.0137440702472,706.6763205500105,6905.727740464345,369.499536,5704.756741302875,1177.9836798695196,438.43005939008145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.079982531875,8299454.581062906,1.574074074074074e-05
1985-11,0.033333,1808.0922007369127,1485.8571312,1930.9494821760002,817.34220288,11226.246063785638,369.4995359999999,8426.467683762421,1740.029240910183,689.4250762525746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7368.5445582473985,13148664.342094319,1.574074074074074e-05
1985-12,0.032258,1832.5899958126283,1507.0523116930558,1958.4937338663626,817.34220288,7819.736995191759,369.499536,4442.551947002166,916.8264894551078,199.19511877434851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6357.257117902671,3438197.6135190236,1.574074074074074e-05
1986-01,0.032258,1864.6111890250372,1600.1538335999999,2079.484057728,817.34220288,6354.097446828011,369.499536,2928.608856610433,603.9692018243999,24.742690963200005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6357.257117902671,0.0,1.574074074074074e-05
1986-02,0.035714,1675.2098565715269,1427.416719712394,1855.0030941077148,760.8342120111514,5690.079557516514,369.499536,2635.737287439809,543.5722816419601,22.26842186688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11016.487177069212,0.0,1.574074074074074e-05
1986-03,0.032258,1138.467084410557,1229.9313275460588,1598.3604413696694,658.5716021433674,3870.761334179825,369.499536,1994.2950066696537,411.26407196634653,42.103025590308306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3814.354270741598,537202.9880544408,1.574074074074074e-05
1986-04,0.033333,968.3348412413534,717.6024030684524,932.5620609931772,434.4848533324197,4835.141502512187,282.31875976320015,10655.990856000002,2200.878132416981,850.4752031999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3274.9086925543997,22166196.017474998,1.574074074074074e-05
1986-05,0.032258,1572.2214190753152,1397.3512926071892,1815.9314904648327,817.34220288,10817.801457345935,141.1593798816,4969.923561478692,1084.135005579607,542.1174382839246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235805327,10586799.241050553,1.574074074074074e-05
1986-06,0.033333,1265.7735714941673,935.265300872534,1215.426443428305,672.3292309613656,10132.722578142357,141.15937988160007,10655.990855999995,2201.1706011818974,850.4752032000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1637.4543462771999,26119298.459883645,1.574074074074074e-05
1986-07,0.032258,1234.7206394316754,968.1022196161395,1258.099746206085,689.1019930159412,9761.304366898881,141.15937988160007,10655.990856,2201.1206018354756,850.4752032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235805327,23391086.764085144,1.574074074074074e-05
1986-08,0.032258,946.8430301594752,1160.186521231557,1507.7233977336584,787.216688568555,8722.89957375288,141.1593798816,10532.137401494963,2175.4324326650985,850.4752032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235805327,22579795.2740332,1.574074074074074e-05
1986-09,0.033333,766.9554110054277,1091.7872530062186,1418.834951605417,746.6744100809965,7097.5131967611,211.73906982239993,8506.338661140882,1756.845535884172,850.4752032000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2456.1815194158007,17315922.314993836,1.574074074074074e-05
1986-10,0.032258,964.7587272621828,1167.030451559471,1516.6174451122658,784.6077303076888,9832.824693306906,369.499536,9566.805720756927,1975.8151322809802,850.4752032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.079982531875,17067357.085253313,1.574074074074074e-05
1986-11,0.033333,1802.9705910756231,1485.8571312,1930.9494821760002,817.34220288,12385.390940462003,369.499536,10655.990856000002,2200.609549485857,850.4752032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7368.5445582473985,28563571.734094314,1.574074074074074e-05
1986-12,0.032258,1857.4057216970784,1485.8571312,1930.9494821760002,817.34220288,12385.390940462003,369.499536,10655.990855999995,2200.4137809700865,850.4752032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6357.257117902671,27344431.946319018,1.574074074074074e-05
1987-01,0.032258,1998.3298007566489,1600.1538335999999,2079.484057728,817.34220288,12385.390940462003,369.499536,10655.990855999997,2200.3105317012332,850.4752032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6357.257117902671,30782164.57713497,1.574074074074074e-05
1987-02,0.035714,2010.8720854792223,1600.1538335999999,2079.484057728,817.34220288,12385.390940462003,369.499536,9795.421887494516,2022.637304809301,847.0102271038614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11016.487177069204,16254433.040076891,1.574074074074074e-05
1987-03,0.032258,2010.8720854792223,1600.1538335999999,2079.484057728,817.34220288,8285.287166372225,369.499536,6391.424622393065,1319.633781003537,548.6192787091969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3814.354270741598,10519884.195375929,1.574074074074074e-05
1987-04,0.033333,2010.8720854792223,1600.1538335999999,2079.484057728,817.3422028799997,5429.8852600063665,282.3187597632,4317.038215913473,891.3619096779769,372.2178413179984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3274.9086925543997,7140802.824874475,1.574074074074074e-05
1987-05,0.032258,1984.0573708632526,1600.1538335999996,2079.4840577279997,817.3422028799997,6309.9254349948615,141.15937988159996,5996.980867589088,1238.6160796532088,628.2576673548375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235805327,12284494.90361942,1.574074074074074e-05
1987-06,0.033333,1930.3096914924513,1600.1538335999994,2079.4840577279992,817.3422028799997,6061.912065623488,141.1593798816,5780.437725736696,1193.9670012479867,603.3608839482273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1637.4543462771999,11793816.370984878,1.574074074074074e-05
1987-07,0.032258,1054.0820925561036,969.7255512764922,1260.2093510685834,672.636602413166,9505.825735786206,141.15937988159996,10655.990856,2201.1206018354756,850.4752032000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235805327,22862099.71580001,1.574074074074074e-05
