Recorder,diasdelmes_recorder,Generacion_Cipreses,Generacion_CentralIsla,Generacion_CentralCurrilinque,Generacion_CentralLomaAlta,Generacion_CentralPehuenche,Generacion_CentralChiburgo,Generacion_CentralColbun,Generacion_CentralMachicura,Generacion_CentralSanIgnacio,ProduccionBase_recorder,dolar_recorder,mil_recorder,BeneficiosTotales,Deficit_Melado,Deficit_ParticularesRiberaSur,Deficit_ParticularesRiberaNorte,Deficit_CooperativaDeRiego,Deficit_AsociacionCanalMaule,Deficit_AsociacionMauleSur,Deficit_SORPAM,Deficit_GarzasySuizas,Vulnerabilidad,Caudal_Remanente_mensual,segundosdelmes_recorder,EventosFalla_AsociacionCanalMaule,EventosFalla_AsociacionMauleSur,EventosFalla_SORPAM,EventosFalla_CooperativaDeRiego,EventosFalla_ParticularesRiberaNorte,EventosFalla_ParticularesRiberaSur,EficienciaAplicacionGarzasySuizas,uno_recorder,TasaDeDescuento,BeneficioMgHe_recorder
2021-06,0.033333,325.45298346549123,923.867103301344,1200.613886261349,607.675051128499,3230.8566078851995,141.1593798816,479.31266182314187,120.79384036487994,4.948538192640001,-234.48699019999998,760.3,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1637.4543462771999,32035.55562532066,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,0.8899964400142398,59.93978620000001
2021-07,0.032258,426.95883999362877,962.476148383056,1250.7883707675633,669.5437691755008,3480.905309156822,141.1593798816,516.1236054161734,120.79384036487996,4.948538192640001,-244.31234369999999,760.3,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235805327,1637.4543462771999,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,0.8899964400142398,56.03426325
2021-08,0.032258,497.6144845783056,816.3799427998975,1060.9286685155391,611.6038066822167,3245.8278684873712,141.1593798816,548.3947738406443,120.79384036487996,4.948538192640001,-227.34313569999998,760.3,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235805327,1271.4514235805327,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,0.8899964400142398,56.03426325
2021-09,0.033333,453.45890110767834,702.7324250379221,913.2377425408156,530.3831392066124,2813.028949746868,211.73906982239993,856.5862258498333,181.19076054732,7.4228072889600005,-222.3237774,760.3,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2456.1815194158007,1271.4514235805327,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,0.8899964400142398,56.03426325
2021-10,0.032258,473.58648707166725,980.2115676944641,1273.836480855967,681.0363789691392,3385.304848095379,369.499536,3184.4381445879717,658.3204394516181,148.66051423529103,-359.8345835,760.3,1000.0,0.0,194629.09590609046,0.0,0.0,0.0,0.0,0.0,0.0,4450.079982531875,2456.1815194158007,2588528.277989555,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,0.8899964400142398,52.46850527
2021-11,0.033333,323.524313094312,923.1335089664399,1199.6605418439312,574.301120234688,4631.794795594391,369.499536,2760.259153847636,569.490129382092,36.72047921272881,-379.6089898,760.3,1000.0,0.0,365000.3289450032,0.0,0.0,0.0,0.0,0.0,0.0,7368.5445582473985,199079.17588862233,284828.532915161,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,0.8899964400142398,52.46850527
2021-12,0.032258,225.029906823744,885.66990733728,1150.9746213423746,509.5502005934593,5886.862872514804,369.499536,2928.109059651814,603.9692018244,24.742690963200005,-405.9478332,760.3,1000.0,0.0,433867.80420870066,0.0,0.0,0.0,0.0,0.0,0.0,6357.257117902671,372368.8735032506,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,0.8899964400142398,52.46850527
2022-01,0.032258,179.855648843904,868.4873030764799,1128.6449234843903,484.44592404257264,5135.226338495695,369.499536,2928.6088566104345,603.9692018244003,24.742690963200005,-378.1760315,760.3,1000.0,0.0,444648.1050087007,0.0,0.0,0.0,0.0,0.0,0.0,6357.257117902671,440225.06132660335,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,0.8396192830323018,61.3262537
2022-02,0.035714,163.24334133623998,862.1686003787997,1120.4334370326237,476.69246022182404,2758.624619451741,369.499536,2613.5575162277682,543.5722816419601,22.26842186688,-318.9281705,760.3,1000.0,0.0,446453.1265320807,0.0,0.0,0.0,0.0,0.0,0.0,11016.487177069212,451005.3621266034,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,0.8396192830323018,61.3262537
2022-03,0.032258,147.1278505017024,776.630775807727,1009.272535628475,434.70195150654445,2068.3403067030467,369.499536,1713.40112638194,362.3815210946398,14.845614577920001,-222.4576589,760.3,1000.0,0.0,253294.99740522038,0.0,0.0,0.0,0.0,0.0,0.0,3814.354270741598,457469.6137091499,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,0.8396192830323018,61.3262537
