Recorder,diasdelmes_recorder,Generacion_Cipreses,Generacion_CentralIsla,Generacion_CentralCurrilinque,Generacion_CentralLomaAlta,Generacion_CentralPehuenche,Generacion_CentralChiburgo,Generacion_CentralColbun,Generacion_CentralMachicura,Generacion_CentralSanIgnacio,dolar_recorder,mil_recorder,BeneficioMgHe_recorder,BeneficiosTotales,BeneficiosTotales_Bases,ProduccionBase_recorder,Deficit_Melado,Deficit_ParticularesRiberaSur,Deficit_ParticularesRiberaNorte,Deficit_CooperativaDeRiego,Deficit_AsociacionCanalMaule,Deficit_AsociacionMauleSur,Deficit_SORPAM,Deficit_GarzasySuizas,Vulnerabilidad,Caudal_Remanente_mensual,segundosdelmes_recorder,EventosFalla_AsociacionCanalMaule,EventosFalla_AsociacionMauleSur,EventosFalla_SORPAM,EventosFalla_CooperativaDeRiego,EventosFalla_ParticularesRiberaNorte,EventosFalla_ParticularesRiberaSur,EficienciaAplicacionGarzasySuizas,uno_recorder,TasaDeDescuento,CostosTotales,IngresosTotales
2033-10,0.032258,295.45166694637436,693.6609966909128,901.4489443438397,453.0751752606166,2410.8879521147646,366.2325209075432,1614.6442576219006,333.03831518314774,37.62111328482166,760.3,1000.0,38.00785364,-383481548.0624,4382249704.338584,-243.0622125,212365.3064817884,0.0,0.0,0.0,0.0,0.0,0.0,2609.3461387029165,13991.34099175978,496374.1032990659,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.43967462509478,0.9999,0.46883902224245333,24806079701.523895,28569193821.082207
2033-11,0.033333,219.81533504895359,883.6864785616324,1148.397051341296,511.81443310072325,3885.9697149930926,369.499536,1798.3856869775434,370.7839738694047,16.123245510353982,760.3,1000.0,38.00785364,-383481548.0624,4118588905.689243,-347.3311367,345043.24524513725,0.0,0.0,0.0,0.0,0.0,0.0,4923.017730142048,214974.6526204913,3.4924596548080444e-10,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.43967462509478,0.9999,0.46883902224245333,24806079701.523895,26658438975.836056
2033-12,0.032258,168.7118305034448,864.248609867976,1123.1365187500446,479.379959227008,4056.570349588629,369.499536,1995.1886736017307,411.2442440244564,17.764770672112437,760.3,1000.0,38.00785364,-383481548.0624,4048435268.2851095,-306.96977630000004,391264.4474311264,0.0,0.0,2.3283064365386963e-10,0.0,0.0,0.0,6013.33322168071,349966.2629752793,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.43967462509478,0.9999,0.46883902224245333,24806079701.523895,26162132836.458694
2034-01,0.032258,140.41782047494078,853.4866228644959,1109.1507506736941,465.8942020900608,2568.5521389824685,369.499536,1983.4054489466116,411.2442440244564,17.764770672112437,760.3,1000.0,84.21380575,4504642928.464955,4027118252.3441963,-286.13014,398859.87143112643,0.0,0.0,2.3283064365386963e-10,0.0,0.0,0.0,6013.33322168071,397277.7806528073,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.43967462509478,0.9999,0.4423009643796729,26768993078.8341,32631362745.194523
2034-02,0.035714,154.21199550308637,858.733412988168,1115.969230364409,477.00587203557114,2339.914497227843,369.499536,1758.8997444913787,369.98893685570073,16.361486739182844,760.3,1000.0,84.21380575,4495080043.349323,4019462342.0435653,-295.8605409,390436.5368674177,0.0,0.0,-2.3283064365386963e-10,0.0,0.0,0.0,8396.27462077501,404873.2046528074,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.43967462509478,0.9999,0.4423009643796729,26768993078.8341,32562109270.64753
2034-03,0.032258,113.26418500763519,537.4270176294302,698.4146723183561,301.34001906569927,1430.7812699431845,313.91358934932265,1159.2022586460325,246.74654641467387,10.65886240326746,760.3,1000.0,84.21380575,4502677115.721526,4023493679.5058,-173.0903726,232390.4962986758,0.0,0.0,0.0,0.0,0.0,0.0,3607.9999330084247,398832.81148819247,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.43967462509478,0.9999,0.4423009643796729,26768993078.8341,32617056802.885635
2034-04,0.033333,106.52560805509918,337.2958360515815,438.3336770998447,197.46850424853878,986.8756105071067,210.93223440314642,10211.093646860116,2200.8781324169795,850.4752031999999,760.3,1000.0,64.33439503,4509612271.036685,4031096637.582776,-139.9836228,154681.82704228332,0.0,0.0,0.0,0.0,0.0,0.0,2188.0078800631345,235998.49623168423,22880642.957843337,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.43967462509478,0.9999,0.4423009643796729,26768993078.8341,32667350235.90943
2034-05,0.032258,145.3128670103616,657.3266884006515,854.2305999249244,387.7459101200987,1931.207368874944,104.6378631164409,328.06888523385413,82.2488488048913,3.552954134422488,760.3,1000.0,64.33439503,4526456623.463222,4045193647.2833085,-141.8157486,5790.9547662252735,0.0,0.0,0.0,0.0,0.0,0.0,1202.666644336141,156869.83492234646,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.43967462509478,0.9999,0.4423009643796729,26768993078.8341,32789356175.834137
2034-06,0.033333,205.4592363239856,625.6509349857262,813.0662925566328,401.9017206871242,2064.702671143409,105.46611720157321,3742.194563407894,906.4404774430999,463.07833919601734,760.3,1000.0,64.33439503,4960802556.277595,4392313185.784709,-277.9710231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1094.0039400315673,6993.621410561414,9055970.116955666,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.43967462509478,0.9999,0.4423009643796729,26768993078.8341,35934825956.568474
2034-07,0.032258,272.25553687326715,711.2649233016498,924.326172752613,478.2329419632111,2446.1448771232654,104.6378631164409,326.38187332097243,82.2488488048913,3.552954134422488,760.3,1000.0,48.441694,4997628383.581719,4422407081.099504,-179.93015590000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1202.666644336141,1094.0039400315673,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.43967462509478,0.9999,0.4423009643796729,26768993078.8341,36201535774.571175
