Recorder,diasdelmes_recorder,Generacion_Cipreses,Generacion_CentralIsla,Generacion_CentralCurrilinque,Generacion_CentralLomaAlta,Generacion_CentralPehuenche,Generacion_CentralChiburgo,Generacion_CentralColbun,Generacion_CentralMachicura,Generacion_CentralSanIgnacio,Deficit_Melado,Deficit_ParticularesRiberaSur,Deficit_ParticularesRiberaNorte,Deficit_CooperativaDeRiego,Deficit_AsociacionCanalMaule,Deficit_AsociacionMauleSur,Deficit_SORPAM,Deficit_GarzasySuizas,Vulnerabilidad,Caudal_Remanente_mensual,segundosdelmes_recorder,EventosFalla_AsociacionCanalMaule,EventosFalla_AsociacionMauleSur,EventosFalla_SORPAM,EventosFalla_CooperativaDeRiego,EventosFalla_ParticularesRiberaNorte,EventosFalla_ParticularesRiberaSur,uno_recorder,TasaDeDescuento,BeneficiosTotales
Jan-24,0.032258,219.7051539,883.6445698,1148.342589,505.042461,6012.920551,369.499536,2928.608857,603.9692018,24.74269096,373793.1578,0,0,0,0,0,0,3727.637341,318163.9952,0,1.57E-05,0,0,0,0,0,0,0.9999,0.077009079,6440190431
Feb-24,0.035714,211.1310597,880.3833039,1144.104402,498.3998042,5271.786357,369.499536,2635.737287,543.5722816,22.26842187,372482.9625,0,0,0,0,0,0,8396.274621,377520.7952,0,1.57E-05,0,0,0,0,0,0,0.9999,0.077009079,6335624631
Mar-24,0.032258,150.2900486,857.2416505,1114.030607,470.3029849,3110.619253,369.499536,1757.670084,362.3815211,14.84561458,223059.9875,0,0,0,0,0,0,2236.582405,380879.2371,0,1.57E-05,0,0,0,0,0,0,0.9999,0.077009079,6332185496
Apr-24,0.033333,138.8252025,626.0328732,813.5626414,350.214555,1684.56976,282.3187598,1166.892418,241.5876807,9.897076385,143322.3006,0,0,0,0,0,0,2188.00788,225296.5699,0,1.57E-05,0,0,0,0,0,0,0.9999,0.077009079,6339194633
May-24,0.032258,150.5033993,584.6011245,759.719905,338.6274867,1599.374655,141.1593799,887.4268129,184.3326952,40.37845443,38840.33717,0,0,0,0,0,0,745.5274682,145510.3085,698270.8981,1.57E-05,0,0,0,0,0,0,0.9999,0.077009079,6382134426
Jun-24,0.033333,291.2512623,488.7189839,635.1160209,359.3384667,2159.281127,141.1593799,10655.99086,2201.170601,850.4752032,0,0,0,0,0,0,0,1094.00394,39585.86463,23179771.75,1.57E-05,0,0,0,0,0,0,0.9999,0.077009079,6652001623
Jul-24,0.032258,481.3868093,983.1785196,1277.692191,687.9482722,3563.09862,141.1593799,549.4924303,120.7938404,4.948538193,1.46E-11,0,0,0,0,0,0,745.5274682,1094.00394,0,1.57E-05,0,0,0,0,0,0,0.9999,0.077009079,6992986421
Aug-24,0.032258,394.385796,698.2186432,907.3718457,533.8271588,2564.617889,141.1593799,1077.495258,227.3223732,64.34993915,0,0,0,0,0,0,0,745.5274682,745.5274682,1170713.171,1.57E-05,0,0,0,0,0,0,0.9999,0.077009079,6994116671
Sep-24,0.033333,434.3139304,575.6009838,748.0237489,447.1391807,2270.548472,211.7390698,3446.240119,711.5180967,303.1387615,0,0,0,0,0,0,0,1641.00591,745.5274682,5828121.171,1.57E-05,0,0,0,0,0,0,0.9999,0.077009079,6994116671
Oct-24,0.032258,329.8306796,903.1337061,1173.669746,573.6181656,3122.297754,369.499536,2114.24897,436.2478692,24.83057466,187586.4777,0,0,0,0,0,0,2609.346139,1641.00591,148024.5368,1.57E-05,0,0,0,0,0,0,0.9999,0.077009079,6992986421
Nov-24,0.033333,235.4264969,889.6243827,1156.11367,515.4663959,5163.996377,369.499536,2634.799074,543.5722816,22.26842187,339890.2628,0,0,0,0,0,0,4923.01773,190195.8238,0,1.57E-05,0,0,0,0,0,0,0.9999,0.077009079,6522028987
