Recorder,diasdelmes_recorder,Generacion_Cipreses,Generacion_CentralIsla,Generacion_CentralCurrilinque,Generacion_CentralLomaAlta,Generacion_CentralPehuenche,Generacion_CentralChiburgo,Generacion_CentralColbun,Generacion_CentralMachicura,Generacion_CentralSanIgnacio,Deficit_Melado,Deficit_ParticularesRiberaSur,Deficit_ParticularesRiberaNorte,Deficit_CooperativaDeRiego,Deficit_AsociacionCanalMaule,Deficit_AsociacionMauleSur,Deficit_SORPAM,Deficit_GarzasySuizas,Caudal_Remanente_mensual,segundosdelmes_recorder
1987-03,0.032258,2010.8720854792223,1600.1538335999999,2079.484057728,817.34220288,8285.287166372227,369.499536,6391.424622393066,1319.6337810035373,548.619278709197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3814.354270741598,10519884.195375929,1.574074074074074e-05
1987-04,0.033333,2010.8720854792223,1600.1538335999999,2079.484057728,817.34220288,5429.885260006369,282.3187597632,4317.038215913476,891.361909677977,372.2178413179986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3274.9086925543997,7140802.824874479,1.574074074074074e-05
1987-05,0.032258,1984.0573708632526,1600.1538335999999,2079.484057728,817.34220288,6309.925434994862,141.1593798816,5996.98086758909,1238.6160796532088,628.2576673548375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235805327,12284494.90361942,1.574074074074074e-05
1987-06,0.033333,1930.30969149245,1600.1538335999999,2079.484057728,817.34220288,6061.91206562349,141.1593798816,5780.437725736699,1193.967001247987,603.3608839482276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1637.4543462771999,11793816.370984882,1.574074074074074e-05
1987-07,0.032258,1054.0820925561036,969.7255512764933,1260.209351068585,672.6366024131669,9505.825735786208,141.1593798816,10655.990856,2201.1206018354756,850.4752032000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235805327,22862099.7158,1.574074074074074e-05
1987-08,0.032258,900.7244619798023,827.1452728875995,1074.9187811056465,617.1026271230095,9082.368221981154,141.1593798816,10655.990856,2201.0183799225306,850.4752032000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235805327,22860976.33095,1.574074074074074e-05
1987-09,0.033333,823.3807025322329,1090.774249717948,1417.5185005591786,751.761610616331,9185.157266692582,211.73906982239993,10655.990856,2200.9259040845714,850.4752032000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2456.1815194158007,22196217.972224995,1.574074074074074e-05
1987-10,0.032258,1010.1467983426762,1034.6416496247118,1344.5712347640545,723.0896529268825,10569.51369508706,369.499536,10655.990856,2200.8216412659576,850.4752032000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.079982531875,19540103.838499997,1.574074074074074e-05
1987-11,0.033333,1803.3501419710224,1485.8571312,1930.9494821760002,817.34220288,12385.390940462003,369.499536,10655.990856,2200.609549485857,850.4752032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7368.5445582473985,31230456.34209432,1.574074074074074e-05
1987-12,0.032258,1929.8896985615572,1600.1538335999999,2079.484057728,817.34220288,12385.390940462003,369.499536,10655.990856,2200.4137809700874,850.4752032000002,0.0,0.0,0.0,0.0,-4.656612873077393e-10,0.0,0.0,6357.257117902671,18529568.194577936,1.574074074074074e-05
1988-01,0.032258,2010.8720854792223,1600.1538335999999,2079.484057728,817.34220288,12385.390940462003,369.499536,9504.650615806098,1962.4638702682887,782.2532315464209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6357.257117902671,14929404.913001131,1.574074074074074e-05
1988-02,0.035714,2010.8720854792223,1600.1538335999999,2079.484057728,817.34220288,8369.324194503415,369.499536,5288.018969279685,1091.4870692803477,327.79131909909614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11016.487177069204,6021401.417676883,1.574074074074074e-05
1988-03,0.032258,2010.8720854792223,1600.1538335999999,2079.484057728,817.34220288,5663.668585860257,369.499536,3733.0077262197096,770.451565896317,242.38965093959484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3814.354270741598,4484554.171043759,1.574074074074074e-05
1988-04,0.033333,1992.935424855485,1600.1538335999999,2079.484057728,817.34220288,5162.465678669019,282.3187597632,3955.484822737067,816.6713321278696,330.5696103085504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3274.9086925543997,6319978.200874475,1.574074074074074e-05
1988-05,0.032258,1941.692363880145,1600.1538335999999,2079.484057728,817.34220288,5210.324005133307,141.1593798816,4716.06622183899,974.0016230083899,480.7059361958489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235805327,9376469.969219422,1.574074074074074e-05
1988-06,0.033333,1027.9585020438844,1185.0443956602135,1540.0275128118321,684.8268972357521,6220.8740021761205,141.1593798816,6290.035357035554,1299.2409168527752,662.0626974860326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1637.4543462771999,12950741.715889841,1.574074074074074e-05
1988-07,0.032258,920.1709143156263,1147.7873968960137,1491.6100835983905,712.072859527374,7845.972392904907,141.1593798816,8259.59438340525,1706.0672018254522,850.4752032000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235805327,17421627.37977417,1.574074074074074e-05
1988-08,0.032258,797.3089361477847,1102.3978183502543,1432.6239392721607,755.5503681609878,8169.94288652286,141.1593798816,9508.9193139249,1964.0535565082505,850.4752032000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235805327,20256811.676449023,1.574074074074074e-05
1988-09,0.033333,703.6856944972973,1067.3682264496856,1387.101142415768,708.2255075816238,7275.297984480985,211.73906982239993,7767.357430301305,1604.1849995103184,800.8989689866775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2456.1815194158007,15638233.75669286,1.574074074074074e-05
1988-10,0.032258,818.099699734861,1111.0915961044484,1443.9219606633944,683.8050372965123,8059.670092886713,369.499536,6734.776252837775,1390.7676106979168,557.0805585148775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.079982531875,10637879.262520075,1.574074074074074e-05
1988-11,0.033333,1803.2542348167376,1485.8571312,1930.9494821760002,817.34220288,12385.390940462003,369.499536,10655.990856,2200.609549485857,850.4752032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7368.5445582473985,20330835.327694315,1.574074074074074e-05
1988-12,0.032258,1913.5464277256851,1600.1538335999999,2079.484057728,817.34220288,9478.081392243106,369.499536,5986.937869522377,1235.8694819710367,377.0967589823773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6357.257117902671,6944374.067919024,1.574074074074074e-05
1989-01,0.032258,1959.5703428734196,1600.1538335999999,2079.484057728,817.34220288,6935.612148274524,369.499536,3442.5232015343922,710.1348746076922,83.94175743695608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6357.257117902671,1166725.459922862,1.574074074074074e-05
1989-02,0.035714,1988.9335334279685,1600.1538335999999,2079.484057728,817.34220288,5745.711430850151,369.499536,2635.7372874398075,543.57228164196,22.268421866879955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11016.487177069212,-8.149072527885437e-10,1.574074074074074e-05
1989-03,0.032258,1958.1395992522382,1600.1538335999999,2079.484057728,817.34220288,4385.795967265337,369.499536,2363.7239377856704,487.58159726007557,84.65845932450712,0.0,0.0,0.0,0.0,-4.656612873077393e-10,0.0,0.0,3814.354270741598,1375907.227043765,1.574074074074074e-05
1989-04,0.033333,1577.7478814887045,864.7109771333767,1123.7373893270023,462.3557131198916,3234.6749726288435,282.3187597632,10655.990856,2200.87813241698,850.4752032,0.0,0.0,0.0,0.0,4.656612873077393e-10,0.0,0.0,3274.9086925543997,22166196.017474998,1.574074074074074e-05
1989-05,0.032258,732.1625823691115,1076.8040430865674,1399.3634823583573,576.441558855741,8432.462218486882,141.15937988159996,543.1737797391271,120.79384036488054,4.948538192640508,0.0,0.0,0.0,0.0,9.313225746154785e-10,0.0,0.0,1271.4514235805327,1.0011717677116394e-08,1.574074074074074e-05
1989-06,0.033333,734.3598662684034,562.1883131477529,730.5932780235341,349.6030353967209,4060.937617557012,141.1593798816,10535.825651014738,2201.1706011818983,850.4752032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1637.4543462771999,23179771.752,1.574074074074074e-05
1989-07,0.032258,853.9658616639318,676.7877780366937,879.5213093519792,455.4429492894039,6027.103887967701,141.1593798816,9972.214352352696,2201.1206018354756,850.4752032,0.0,0.0,0.0,0.0,-9.313225746154785e-10,0.0,0.0,1271.4514235805327,23179222.275800005,1.574074074074074e-05
1989-08,0.032258,689.2810528416109,1062.0986694689789,1380.2530759970446,684.3170304526196,9869.804109343537,141.15937988159996,518.0640974500506,120.79384036488044,4.948538192639833,0.0,0.0,0.0,0.0,9.313225746154785e-10,0.0,0.0,1271.4514235805327,-3.2887328416109085e-09,1.574074074074074e-05
1989-09,0.033333,650.688659914744,1047.515737408674,1361.3017888785366,667.6770103153335,5399.048381978788,211.73906982239993,3749.736177161964,787.140279323868,345.3064649851291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2456.1815194158007,6659183.825149422,1.574074074074074e-05
1989-10,0.032258,809.5766881320402,1107.9840770103315,1439.8835761783453,658.515992092521,6598.969408421973,369.4995360000001,4922.87887007473,1016.4614514024656,348.3636105151379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.079982531875,6524378.97182467,1.574074074074074e-05
1989-11,0.033333,1803.0084219088728,1487.682259042824,1933.32133178994,817.34220288,9223.373531326179,369.4995359999999,6230.779303673465,1286.4386058227499,436.49829253383535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7368.5445582473985,8163854.012494315,1.574074074074074e-05
1989-12,0.032258,1832.6927553529583,1521.917359818192,1977.8116456474045,817.34220288,7025.492837657281,369.499536,3601.493388950524,743.0785710565461,102.31149998027162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6357.257117902671,1528765.7351190222,1.574074074074074e-05
1990-01,0.032258,1870.2981114840477,1600.1538335999999,2079.484057728,817.34220288,6387.6913335071,369.49953599999986,2928.608856610433,603.9692018243999,24.742690963200005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6357.257117902671,4.001776687800884e-11,1.574074074074074e-05
1990-02,0.035714,1583.0832748499972,1391.9433655551884,1808.9036048616772,735.3666847183376,4979.824760447591,369.4995359999999,2635.7372874398056,543.5722816419596,22.2684218668798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11016.487177069212,-3.773493517655879e-09,1.574074074074074e-05
1990-03,0.032258,1326.8048657892161,1300.618601347077,1690.2222710681106,706.8637320399408,5273.233668417411,369.49953600000015,2938.2303340760946,610.1689812366083,153.0144401478369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3814.354270741598,2723101.835254917,1.574074074074074e-05
1990-04,0.033333,983.8807300030655,724.6219208736007,941.6842935324722,417.74937527858424,4422.459007121222,282.3187597631999,10655.990856000002,2200.8781324169813,850.4752032000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3274.9086925543997,22166196.01747501,1.574074074074074e-05
1990-05,0.032258,985.194040839638,1122.1184584879454,1458.2519482256866,627.0945719302671,5320.578709553343,141.15937988159996,551.0218508434613,120.79384036488021,4.948538192640118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235805327,2.3137545213103294e-09,1.574074074074074e-05
1990-06,0.033333,887.2125263881208,685.2534157195959,890.5228507228428,404.7557961164592,4001.771673197343,141.15937988159996,10426.905866532667,2201.1706011818997,850.4752032000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1637.4543462771999,23179771.752000008,1.574074074074074e-05
1990-07,0.032258,787.8956204320876,913.9634486329452,1187.7435661935308,529.4060515354572,4461.341433708001,141.15937988159996,538.7540826354536,120.79384036487996,4.948538192639987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235805327,-2.764863893389702e-10,1.574074074074074e-05
1990-08,0.032258,672.0601878404333,529.9564340336145,688.7062560628558,344.04091493198933,3708.1783626178217,141.15937988159996,10204.842438185357,2201.0183799225306,850.4752031999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235805327,23178098.890949998,1.574074074074074e-05
1990-09,0.033333,633.5825590698669,774.1483702044393,1006.0465189990377,514.4301438676414,4932.935683608812,211.73906982239993,774.6282548293124,181.1907605473195,7.422807288959751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2456.1815194158007,-4.918547347187996e-09,1.574074074074074e-05
1990-10,0.032258,680.9576199483441,562.6401529791049,731.1804676463148,384.27108473733136,4803.829763188222,369.4995360000001,9572.478387176652,2116.8582966112244,850.4752031999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.079982531875,18617374.585807197,1.574074074074074e-05
1990-11,0.033333,1800.4778204225984,1484.9085095762914,1929.716698488647,817.34220288,9675.159937393417,369.499536,2207.7861358528403,543.5722816419601,22.268421866879986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7368.544558247406,-2.3283064365386963e-10,1.574074074074074e-05
1990-12,0.032258,1802.9654413023682,1534.0462277161362,1993.5737473294157,817.34220288,6868.757128161331,369.499536,2655.1978053780813,603.9692018243996,24.74269096319989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6357.257117902671,-2.270098775625229e-09,1.574074074074074e-05
1991-01,0.032258,1734.2220213828205,1459.710271740889,1896.9702632639344,776.3358706185272,4484.482798732375,369.499536,2683.8876868156744,603.9692018243998,24.74269096319996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6357.257117902671,-8.731149137020111e-10,1.574074074074074e-05
1991-02,0.035714,1219.1892594127826,985.9798869186916,1281.332715039702,528.9049383506665,2615.8141132696883,369.499536,2363.981675857949,543.5722816419601,22.26842186688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11016.487177069212,0.0,1.574074074074074e-05
1991-03,0.032258,765.0325880638438,611.7267956548703,794.9711412354906,331.288151016285,1723.5360199969932,369.499536,1779.56252603531,427.2986520668632,51.04407167765193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3814.354270741598,713417.6942960005,1.574074074074074e-05
1991-04,0.033333,730.2003154871076,655.093294039507,851.3281864999783,371.3433901554411,2888.127787522189,282.3187597631999,1603.5864438807255,404.72468260873524,100.8639394529305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3274.9086925543997,1792821.4323682827,1.574074074074074e-05
1991-05,0.032258,1802.963733297662,1600.1538335999999,2079.484057728,817.34220288,11878.626624916616,141.1593798816,8712.124672470913,2201.08567173457,850.4752032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235805327,25199545.129756287,1.574074074074074e-05
