Recorder,diasdelmes_recorder,Generacion_Cipreses,Generacion_CentralIsla,Generacion_CentralCurrilinque,Generacion_CentralLomaAlta,Generacion_CentralPehuenche,Generacion_CentralChiburgo,Generacion_CentralColbun,Generacion_CentralMachicura,Generacion_CentralSanIgnacio,Deficit_Melado,Deficit_ParticularesRiberaSur,Deficit_ParticularesRiberaNorte,Deficit_CooperativaDeRiego,Deficit_AsociacionCanalMaule,Deficit_AsociacionMauleSur,Deficit_SORPAM,Deficit_GarzasySuizas,Vulnerabilidad,Caudal_Remanente_mensual,segundosdelmes_recorder,EventosFalla_AsociacionCanalMaule,EventosFalla_AsociacionMauleSur,EventosFalla_SORPAM,EventosFalla_CooperativaDeRiego,EventosFalla_ParticularesRiberaNorte,EventosFalla_ParticularesRiberaSur,uno_recorder,TasaDeDescuento,BeneficiosTotales
2028-09,0.033333,344.4266726402832,617.7439287475353,802.7907221262062,428.22444118072156,2235.530506494462,211.73906982239993,856.3773651457612,181.19076054732,7.4228072889600005,13807.903081712444,0.0,0.0,5.820766091346741e-10,-2.3283064365386963e-10,0.0,0.0,1641.00591004735,745.5274682019954,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.060998403337233685,6994116670.772002
2028-10,0.032258,269.41136158427037,658.3543643305445,855.5661188405747,421.96460115028054,2206.3948616352336,369.499536,2025.5141050078441,422.7784412770801,17.319883674240003,213144.98008178844,0.0,0.0,-2.0954757928848267e-09,0.0,0.0,0.0,2609.3461387029165,15448.908991760143,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.060998403337233685,6914519124.098648
2028-11,0.033333,251.8134339025008,895.857362916696,1164.2137556189502,531.6764324465663,4116.66074240261,369.499536,2583.587468093832,543.5722816419601,22.26842186688,313049.2388451373,0.0,0.0,-1.6298145055770874e-09,0.0,0.0,0.0,4923.017730142055,215754.32622048925,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.060998403337233685,6457707430.647599
2028-12,0.032258,172.5791877109872,865.7196084278643,1125.0481587373993,482.0290236881281,2948.0214058382307,369.499536,2856.589539352584,603.9692018243999,24.742690963200005,385204.4378311264,0.0,0.0,2.0954757928848267e-09,-4.656612873077393e-10,0.0,0.0,3727.637341004156,317972.2565752777,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.060998403337233685,6399989607.619027
2029-01,0.032258,150.7237615027584,857.406618767808,1114.244991499876,471.31191596079356,2701.424993477208,369.499536,2787.8170743145406,603.9692018243999,24.742690963200005,386821.84583112644,0.0,0.0,-6.28642737865448e-09,0.0,0.0,0.0,3727.637341004156,388932.0751721322,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.05754566352569215,6315521970.595723
2029-02,0.035714,131.7310410441168,751.0342038898774,976.0084443155131,410.6258638597518,1850.3464037832046,369.499536,2423.441756472954,543.5722816419601,22.26842186688,396151.1192674177,0.0,0.0,2.7939677238464355e-09,0.0,0.0,0.0,8396.27462077501,390549.4831721243,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.05754566352569215,6312672666.722173
2029-03,0.032258,100.64794628512799,447.6702172731686,581.7709900083848,248.9431392486228,1182.3893323883808,369.499536,1542.5569108472437,362.38152109464,14.845614577920001,235073.9938986758,0.0,0.0,0.0,0.0,0.0,0.0,2236.5824046024936,404547.3938881955,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.05754566352569215,6290340835.443315
2029-04,0.033333,134.9448238984032,493.1045196968893,640.8152553660226,292.40921819267504,1496.7616393254739,282.3187597632,1428.568515336658,352.1046166666422,71.52245175833522,101045.91664228332,0.0,0.0,0.0,0.0,0.0,0.0,2188.0078800631345,237310.5763032783,1214544.395846534,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.05754566352569215,6303920544.8434725
2029-05,0.032258,179.57118123267836,731.307609304252,950.3726972437564,448.66509986060663,2261.5537171064984,141.15937988159996,479.06751830957927,120.79384036488001,4.948538192640001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,745.5274682008312,103233.92452234645,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.05754566352569215,6562320017.576431
2029-06,0.033333,191.89043176247998,575.571119237488,747.9849383295057,366.23137380481654,1844.6303425461688,141.1593798816,3434.1422084967658,830.9048537484288,400.91371208503136,7084.926321141669,0.0,0.0,0.0,0.0,0.0,0.0,1094.0039400315673,745.5274682008312,7803884.032999759,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.05754566352569215,6994116670.772005
