Recorder,diasdelmes_recorder,Generacion_Cipreses,Generacion_CentralIsla,Generacion_CentralCurrilinque,Generacion_CentralLomaAlta,Generacion_CentralPehuenche,Generacion_CentralChiburgo,Generacion_CentralColbun,Generacion_CentralMachicura,Generacion_CentralSanIgnacio,dolar_recorder,mil_recorder,BeneficioMgHe_recorder,BeneficiosTotales_Bases,ProduccionBase_recorder,Deficit_Melado,Deficit_ParticularesRiberaSur,Deficit_ParticularesRiberaNorte,Deficit_CooperativaDeRiego,Deficit_AsociacionCanalMaule,Deficit_AsociacionMauleSur,Deficit_SORPAM,Deficit_GarzasySuizas,Vulnerabilidad,Caudal_Remanente_mensual,segundosdelmes_recorder,EventosFalla_AsociacionCanalMaule,EventosFalla_AsociacionMauleSur,EventosFalla_SORPAM,EventosFalla_CooperativaDeRiego,EventosFalla_ParticularesRiberaNorte,EventosFalla_ParticularesRiberaSur,uno_recorder,TasaDeDescuento,BeneficiosTotales
2023-02,0.035714,143.62659509663519,854.7071211516239,1110.7368523829637,466.64839487750396,2216.198996883557,369.499536,2490.3746452040973,543.5722816419601,22.268421866880104,760.3,1000.0,62.23045539,4028989449.873339,-293.48453939999996,395705.90006741765,0.0,0.0,0.0,-4.656612873077393e-10,0.0,0.0,8396.274620775002,395998.2127721305,2.1200321498326957e-09,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.08162962353864733,7487269576.661215
2023-03,0.032258,121.37401604386079,600.8430190000382,780.8271011023758,334.4278801885024,1595.6604526852705,369.499536,1608.8812811732416,362.3815210946402,14.845614577920163,760.3,1000.0,62.23045539,4018163284.640988,-186.7331885,224316.50269867582,0.0,0.0,0.0,0.0,0.0,0.0,2236.5824046024936,404102.1746881922,3.1504896469414234e-09,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.08162962353864733,7418931441.903792
2023-04,0.033333,127.40142396833282,493.8161309660315,641.740031633409,285.9944052160145,1409.593307495179,282.3187597632,4453.680002860107,1031.252488668121,450.22226089713985,760.3,1000.0,60.37126433,4047545793.7619424,-305.864235,133673.2350422833,0.0,0.0,0.0,2.3283064365386963e-10,-5.820766091346741e-11,0.0,2188.0078800631345,226553.0851032783,8678153.795600267,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.08162962353864733,7672469615.397518
2023-05,0.032258,158.593197374568,562.900943043052,731.5193780491804,340.92694278269306,1740.296615460349,141.1593798816,479.06751830957955,120.79384036488004,4.9485381926400205,760.3,1000.0,60.37126433,4096426059.516176,-138.0708965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,745.5274682008312,135861.24292234663,3.842615114990622e-10,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.08162962353864733,8173549752.614157
2023-06,0.033333,212.4447191433072,687.8291494556798,893.8701521689097,439.5233248608549,2302.133548447462,141.1593798816,3333.3866376086235,817.9073643763489,393.6661788932029,760.3,1000.0,60.37126433,4424383879.345292,-307.3942745,0.0,0.0,0.0,0.0,1.1641532182693481e-10,-2.9103830456733704e-11,0.0,1094.0039400315673,745.5274682008312,7661045.944492218,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.08162962353864733,11433470622.18599
2023-07,0.032258,219.4377143115168,533.7581440898658,693.6467782102128,352.9724275951984,1800.6026964635992,141.1593798816,478.9292773604868,120.79384036488003,4.948538192640008,760.3,1000.0,53.95991086,4422407081.099504,-140.20129369999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,745.5274682008312,1094.0039400316546,1.368789526168257e-10,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.08162962353864733,11426976084.166992
2023-08,0.032258,231.45046100668802,459.89233790437754,597.6542785213696,320.41484631282174,1676.399961550138,141.1593798816,497.57758739740655,120.79384036488014,4.948538192640081,760.3,1000.0,53.95991086,4424383879.345292,-130.65429450000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,745.5274682008312,745.5274682008312,1.577518560225144e-09,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.08162962353864733,11433470622.18599
2023-09,0.033333,306.12721553948165,561.28015960921,729.4130847410418,408.47625773913086,2184.2717025804186,211.73906982239993,769.0917057926446,181.19076054731974,7.422807288959861,760.3,1000.0,53.95991086,4424383879.345292,-178.63197250000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1641.00591004735,745.5274682008312,-2.7321220841258764e-09,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.08162962353864733,11433470622.18599
2023-10,0.032258,219.7352033274816,614.6252079703205,798.7377804648834,388.76513389572693,1999.949874253275,369.499536,1844.5342909227431,422.7784412770801,17.319883674240003,760.3,1000.0,46.68164264,4422407081.099504,-215.3526452,222339.49528178843,0.0,0.0,0.0,0.0,0.0,0.0,2609.3461387029165,1641.00591004735,-2.000888343900442e-11,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.08162962353864733,11426976084.166992
2023-11,0.033333,181.79483650352634,869.224897795968,1129.6034666119526,491.7658072852222,2898.634287368076,369.499536,2314.6267504662833,543.5722816419601,22.26842186688002,760.3,1000.0,46.68164264,4104226593.634293,-294.03006919999996,352106.61804513726,0.0,0.0,0.0,0.0,0.0,0.0,4923.017730142048,224948.84142049134,4.320099833421409e-10,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.08162962353864733,8238167599.600699
