Recorder,diasdelmes_recorder,Generacion_Cipreses,Generacion_CentralIsla,Generacion_CentralCurrilinque,Generacion_CentralLomaAlta,Generacion_CentralPehuenche,Generacion_CentralChiburgo,Generacion_CentralColbun,Generacion_CentralMachicura,Generacion_CentralSanIgnacio,dolar_recorder,mil_recorder,BeneficioMgHe_recorder,BeneficiosTotales_Bases,ProduccionBase_recorder,Deficit_Melado,Deficit_ParticularesRiberaSur,Deficit_ParticularesRiberaNorte,Deficit_CooperativaDeRiego,Deficit_AsociacionCanalMaule,Deficit_AsociacionMauleSur,Deficit_SORPAM,Deficit_GarzasySuizas,Vulnerabilidad,Caudal_Remanente_mensual,segundosdelmes_recorder,EventosFalla_AsociacionCanalMaule,EventosFalla_AsociacionMauleSur,EventosFalla_SORPAM,EventosFalla_CooperativaDeRiego,EventosFalla_ParticularesRiberaNorte,EventosFalla_ParticularesRiberaSur,uno_recorder,TasaDeDescuento,BeneficiosTotales
2042-11,0.033333,309.4852354924177,917.793567030312,1192.721006474142,573.2510301092735,5115.941100276641,369.499536,2450.236461083859,543.5722816419599,22.26842186688,760.3,1000.0,34.90617476,4241864774.7014923,-383.1551231,287697.4052451373,0.0,0.0,0.0,0.0,0.0,1.1641532182693481e-10,4923.017730142055,129363.31182049122,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.02697965262167872,9611853958.199324
2042-12,0.032258,286.19545146983995,908.9350011107999,1181.2088341959843,551.842307947123,5193.2465549033395,369.499536,2741.398582994089,603.9692018244003,24.742690963200005,760.3,1000.0,34.90617476,4110589007.092336,-382.613369,369240.5690311264,0.0,0.0,-2.3283064365386963e-10,0.0,0.0,1.1641532182693481e-10,3727.637341004156,292620.42297527945,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.02697965262167872,8314901866.773667
2043-01,0.032258,191.38359862416962,872.872105569552,1134.343204917817,491.64106529663997,4157.5024916859475,369.499536,2738.1927163173536,603.9692018244003,24.742690963200005,760.3,1000.0,109.72147179999999,4052202856.158671,-341.4234014,389482.5338311264,0.0,0.0,-2.3283064365386963e-10,-9.313225746154785e-10,0.0,1.1641532182693481e-10,3727.637341004156,372968.20637213043,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.025452502473281808,7718949037.284126
2043-02,0.035714,168.18246031847036,864.0472571772481,1122.8748503394474,476.958680253619,2497.8277717168216,369.499536,2416.273529163594,543.5722816419601,22.26842186688,760.3,1000.0,109.72147179999999,4031799694.0946016,-302.908462,392457.2600674177,0.0,0.0,0.0,-4.656612873077393e-10,0.0,-1.1641532182693481e-10,8396.27462077501,393210.1711721295,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.025452502473281808,7515316984.154872
2043-03,0.032258,125.84636774851681,610.7422563949023,793.6916806909345,337.97368580935364,1591.6003381048743,369.499536,1554.226828721529,362.38152109464005,14.845614577920001,760.3,1000.0,109.72147179999999,4021449551.560987,-185.83213899999998,232750.3522986758,0.0,0.0,-1.1641532182693481e-10,-2.3283064365386963e-10,0.0,-1.1641532182693481e-10,2236.5824046024936,400853.5346881921,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.025452502473281808,7451729754.143279
2043-04,0.033333,121.3940489742288,484.3954538641161,629.4973663126863,274.49996613268394,1328.1565317976729,282.3187597632,2067.2695073144714,499.1582632188368,153.52107117293022,760.3,1000.0,71.45368603,4033377439.2310643,-194.6717522,151337.45584228332,0.0,0.0,0.0,2.3283064365386963e-10,0.0,-5.820766091346741e-11,2188.0078800631345,234986.93470327783,2830615.098446974,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.025452502473281808,7531063537.578489
2043-05,0.032258,113.56968719574718,429.922196992917,558.7065042982927,247.55510257189385,1215.5538496173845,141.1593798816,479.0675183095794,120.79384036488003,4.948538192640001,760.3,1000.0,71.45368603,4053349367.760822,-106.8151611,58919.52436622528,0.0,0.0,0.0,2.3283064365386963e-10,0.0,-2.9103830456733704e-11,745.5274682008312,153525.46372234664,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.025452502473281808,7743626432.071309
2043-06,0.033333,199.71429271770236,603.8751736308161,784.7675455039512,384.49293927530607,1967.4314658082908,141.1593798816,2250.907165966587,562.5226680090818,251.26105659452776,760.3,1000.0,71.45368603,4127440223.8603187,-238.2020075,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.0,-2.9103830456733704e-11,1094.0039400315673,59665.05183442632,4854453.008048714,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.025452502473281808,8469849295.244992
2043-07,0.032258,321.2590894929503,706.2953026812976,917.8678894076118,496.86270063556935,2641.38392598351,141.1593798816,2967.1274973657746,749.5005692243225,355.5218493062979,760.3,1000.0,47.78233995,4422407081.099504,-299.9019229,0.0,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,745.5274682008312,1094.0039400316546,6909278.000643637,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.025452502473281808,11426976084.166992
2043-08,0.032258,496.7420504607792,775.2542748258417,1007.4837002132964,590.5972363444121,3274.3722082670465,141.1593798816,479.3338354320954,120.79384036487987,4.948538192640001,760.3,1000.0,47.78233995,4424383879.345293,-222.2797188,0.0,0.0,0.0,0.0,2.3283064365386963e-10,0.0,-2.9103830456733704e-11,745.5274682008312,745.5274682008021,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.025452502473281808,11433470622.185993
2043-09,0.033333,399.47916858458393,663.8376382002099,862.6919215957215,498.02436678930684,2675.757917057026,211.73906982239993,788.06247854797,181.1907605473204,7.4228072889600005,760.3,1000.0,47.78233995,4424383879.345292,-209.6047749,0.0,0.0,0.0,0.0,0.0,0.0,-5.820766091346741e-11,1641.00591004735,745.5274682010349,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.025452502473281808,11433470622.18599
